Source,Relation,Target,Weight
nepal,TRADE,tibet,1
humla district,LOCATION,karnali zone,1
upper humla,POPULATION,tibetan speaking buddhist and high caste thakuri and chhetri hindu populations,1
grains,EXCHANGE,tibetan rock salt,1
humla traders,ADAPTATION,long-distance trade as a viable strategy,1
rock salt,SOURCE,alkaline lakes to the north of purang,1
nepali traders,OPTION,mining and purchasing rock salt directly from local tibetan officials,1
limi valley inhabitants,MEANS,yak and sheep for transporting salt,1
tibetan nomads,PRODUCER,salt,1
humla-karnali river traders,TRAVEL,purang (tibet),1
narala pass,OBSTACLE,sudden storms and snow,1
limis,SUPPLY,marts,1
humla families,ATTEND,marts,1
traders,ACQUIRE,salt,1
nepalis,EMPLOY,formal-ritualized ties of friendship,1
purangbas,ENSURE,dependable supply of salt,1
humlis,MARKET,salt,1
traders,REDUCE,stores of salt,1
consumers,EXCHANGE,grain for salt,1
humla traders,TRAVEL,"several lower lying, grain growing districts",1
traders,VISIT,india via nepal's western border,1
this salt,BE EXCHANGED,as much as eight times its volume in rice,1
this,BE THE EQUIVALENT OF,200 animal loads,1
75 animal loads,BE REMOVED FROM,the amount received through exchange,1
this,REPRESENT A NET INCREASE OF,2400 percent over the initial amount of five animal loads of rice used to acquire tibetan salt,1
chinese presence in purang,BE FIRMLY ESTABLISHED,by the early 1960s,1
traders,HAVE TO PROCEED TO,the government trade depot,1
commodities carried by nepali traders,BE WEIGHED,at this depot,1
salt,BE DETERMINED BY,fluctuation in official chinese policy,1
grains,BE WEIGHED,and for each commodity an exact exchange rate has been established by the government,1
receipt,BE ISSUED WHICH CAN THEN BE REDEEMED FOR,"commodities, including salt, of equivalent value",1
official exchange rates,HAVE BEEN REVALUED DOWNWARD SEVERAL TIMES,over the past 15 years,1
salt,BE EXCHANGED AT A RATE OF FIVE UNITS FOR ONE UNIT OF RICE,in purang in the trading season of 1976-1977,1
humlis,HAVE HAD TO ACCEPT LOWER RATES OF EXCHANGE IN ORDER TO REMAIN COMPETITIVE,at present,1
salt and grains,"HAVE REACHED PARITY: TODAY ONE UNIT OF SALT, EITHER TIBETAN OR INDIAN, BRINGS ONE UNIT OF RICE",in the middle hills,1
trader and his two adult sons,DEPARTED HUMLA FOR THE MIDDLE HILLS WITH,25 loads of salt obtained in purang in exchange for five animals loads of rice,1
tibetan salt,EXCHANGED_FOR,rice,1
tibetan salt,EXCHANGED_FOR,corn and millet,1
one unit of salt,BRINGS,two units of corn or millet,1
four units of salt,BRINGS,five units of wheat,1
humla traders,MAKE_TRIPS_TO,bazaar towns near the north indian border,1
the trader in question,MADE_TRIPS_TO,a border town to purchase indian salt,1
one animal,WAS_SOLD_FOR,rs. 260/-,1
the remaining salt,EXCHANGED_FOR,rice,1
indian salt,EXCHANGED_LATE_IN_THE_SEASON,rice,1
thakuri households,ENGAGED_IN,trading,1
tibetan households,ENGAGED_IN,trading,1
the community,EXPRESSED_A_DESIRE_TO_DO_SO,trade in the future,1
thakuris,BROUGHT_BACK_FROM_THE_MIDDLE_HILLS,780 khal of rice,1
tibetans,BROUGHT_BACK_TO_THE_COMMUNITY,890 khal of rice,1
humlis,REORIENT,system of trade,1
traders from two villages,TRANSPORT,tibetan salt,1
traders from two villages,TRANSPORT,indian salt,1
upper humlis,ADAPT,changing trade system,1
agriculture,MEANS_OF_PRODUCTION,none specified,1
thakuri households,BELIEVE,agricultural production alone is not sufficient to meet subsistence needs,1
tibetan households,BELIEVE,agricultural production alone is not sufficient to meet subsistence needs,1
fürer-haimendorf,OBSERVE,tibetans entering nepal travelling to a trade fair in humla,1
