Source,Relation,Target,Weight,Evidence,Confidence
drokpas,trades_with,bhotias,1,"Once they arrived in the last villages before the border, the Drokpas exchanged their merchandise with people who arrived from the other side of the pass bringing the desired products from the south: vegetables, sugar, and especially barley, corn and wheat.",0.85
nomads,extracts_from,lake,1,"Upon reaching the lake, the nomads began to break the salt into small pieces with yak or sheep horns, and accumulated it in conical piles with wooden scrapers.",0.9
tibetan government,licenses,rupshu nomads,1,Only in one case were those coming from across the border allowed to collect their own salt: the nomads of the Rupshu (western end of the Changthang Plateau entering Ladakh) had an agreement with the Tibetan government that allowed them to collect on Mimdum and Gyaltse lakes.,0.9
gorkhas,disputes,tibet,1,The poor quality of the imported salt (being mixed with sand) was even one of the excuses of the Gorkhas to declare war on Tibet in the late 18th century.,0.8
amdowa tribes,supplies,salt,1,"In the past many Amdowa tribes had their salt station or tshwa sgo on the shores of Lake Wu yi tshwa mtsho (Lake Tsaka). There they burned bsang and sprinkled water from the lake skyward to venerate the 1,000 female deities believed inhab-",0.8
nomads of the lake area,transports_via,salt and livestock products,1,"Salt from the lakes was transported along with other livestock products loaded on yaks, sheep or camels to the agricultural areas, where it was exchanged for the coveted grain.",0.8
traders,transports_via,salt and livestock products,1,"Salt from the lakes was transported along with other livestock products loaded on yaks, sheep or camels to the agricultural areas, where it was exchanged for the coveted grain.",0.8
goloks,extracts_from,tsam tso lake,1,"These hardy nomads also extracted salt from Tsam tso Lake (now in the process of disappearing) and traded it for wood, sap and pine resin with traders from northwestern Sichuan.",0.9
goloks,trades_with,traders from northwestern sichuan,1,"These hardy nomads also extracted salt from Tsam tso Lake (now in the process of disappearing) and traded it for wood, sap and pine resin with traders from northwestern Sichuan.",0.9
goloks,extracts_from,kyaring tso and ngoring tso,1,"The Kyaring tso and Ngoring tso, from which the Goloks obtained salt, are not strictly saltwater lakes, but salt is found along their banks. This is enough to be considered by Tibetans as tsaka.",0.8
