subject,relation,object,weight,example_sentence,doc_id
which,make,millions,2,"...""salary"" (derived from the Latin salarium), which makes it possi- ble for millions of people to satisfy their vital needs.",block_11
tibetans,attach,salt,6,"The importance that Tibetans attach to salt is manifested in the attribution of its discovery to the Yar-lung dynasty emperor Namri Songtsen, father of the great Songtsen Gampo.",block_15
salt,benefit,ple,1,"...the 5th Dalai Lama, and the veneration of that salt by the faithful, since it was considered that the salt that had been in contact with his body could benefit peo- ple because it had the characteristic of identifying with him: the salt was the body of the Great Fifth.",block_16
śiva,reveal,shepherd,4,"...also appears in some of its founding legends: a Sanskrit myth tells that Śiva first revealed his identity to a Gaddi shepherd he employed to transport salt, after he himself man- ifested as a shepherd near Lake Gaurikund.",block_19
collision,originate,times,2,"In ancient times, before the collision of tectonic plates originated the Himalayas, the Tibetan plateau was covered by a great sea.",block_22
sources,supply,tibetan,1,Three main sources have historically supplied salt to the Tibetan...,block_21
sources,supply,world,5,Three main sources have historically supplied salt to the Tibetan world.,block_26
salt,sort,lakes,1,From the lakes of the inhospitable Changthang (the high and icy northern region of the... Co-occurring Entities (sorted by frequency): ↳ salt [/food/ingredient] — 4 times ↳ scarcity [/media_common/quotation_subject] — 1 times ↳ northern [/location/location] — 1 times ↳ eastern [/location/location] — 1 times ↳ iodine,block_22
that,reach,tibet,4,"From the lakes of the inhospitable Changthang (the high and icy northern region of the plateau), salt was extracted that reached western and central Tibet, as well as Ladakh, Nepal and Bhutan.",block_26
changthang,contain,lakes,4,The Changthang and the Himalayas The salt harvesting The Changtang contains countless salt lakes.,block_30
drokpas,set,search,1,"When spring arrived, around April, the Drokpas set out to the lakes in search of salt.",block_31
revue,d’etude,tibétaines,11,"Revue d’Etudes Tibétaines 98 Gohain, Swargajyoti.",block_254
who,carry,trade,3,"...type of slang among people who carry out a trade is not exclusive to the ""men of salt"" and it oc- curs in other groups in Tibet such as hunters.3 The Drokpas could take up to 20 days to reach the lake.",block_39
drokpas,take,days,3,"...type of slang among people who carry out a trade is not exclusive to the ""men of salt"" and it oc- curs in other groups in Tibet such as hunters.3 The Drokpas could take up to 20 days to reach the lake.",block_39
caravan,start,arrival,1,"Towards the Himalayas After a few months of rest, and with the arrival of summer, another caravan started up again.",block_41
routes,leave,times,3,"In pre-modern times (before 1950 and the Chinese administration), many routes left the solitary nomadic camps of the Changthang to- wards the high mountain passes of the south.",block_44
caravan,cross,them,3,"...animals (bandits, wild animals, precipices and terrible temperatures) the caravan crossed them, and on the back of mules and yaks, the precious merchandise reached as far away as Baltistan, Ladakh, Zanskar, Spiti, Kinnaur, Garwhal, Kumaon, the middle hills of Nepal, Sikkim, Bhutan and Monyul.",block_46
merchandise,reach,back,3,"...animals (bandits, wild animals, precipices and terrible temperatures) the caravan crossed them, and on the back of mules and yaks, the precious merchandise reached as far away as Baltistan, Ladakh, Zanskar, Spiti, Kinnaur, Garwhal, Kumaon, the middle hills of Nepal, Sikkim, Bhutan and Monyul.",block_46
government,station,centres,2,"Taxes and intermediaries The Ganden Phodrang government stationed officials at crucial points along the southern routes to collect taxes from these traders, usually in the population centres that they passed through or on the banks of the rivers that were to be crossed.",block_46
they,pass,that,2,"Taxes and intermediaries The Ganden Phodrang government stationed officials at crucial points along the southern routes to collect taxes from these traders, usually in the population centres that they passed through or on the banks of the rivers that were to be crossed.",block_46
bhotias,act,intermediaries,2,"These Bhotias acted as intermediaries with the peoples further south, and it was they who brought the salt to Kashmir and the Him- alayan midlands.4 Both among the Drokpas and Bhotias, and be-",block_48
who,bring,salt,2,"These Bhotias acted as intermediaries with the peoples further south, and it was they who brought the salt to Kashmir and the Him- alayan midlands.4 Both among the Drokpas and Bhotias, and be-",block_48
nomads,have,agreement,4,...allowed to collect their own salt: the nomads of the Rupshu (western end of the Changthang Plateau entering Ladakh) had an agreement with the Tibetan government that allowed them to collect on Mim- dum and Gyaltse lakes.,block_53
them,collect,lakes,5,...of the Rupshu (western end of the Changthang Plateau entering Ladakh) had an agreement with the Tibetan government that allowed them to collect on Mim- dum and Gyaltse lakes.,block_54
changpas,pay,tax,4,"The leave was granted by an official in Ruthok in favor of the goba (chief) of Rupshu, and the Changpas or Rupshupas also paid the tax on the collected salt to the Government of Tibet.",block_54
officials,wait,crossings,2,"Along the banks of the sprawling Yarlung Tsangpo the tsasho,5 or salt tax collecting officials, waited patiently at the ferry crossings that nomads would necessarily have to cross to reach the Himalayan but-",block_55
changpas,pay,official,1,"...by an official in Ruthok in favor of the goba (chief) of Rupshu, and the Changpas or Rupshupas also paid the tax on the collected salt to the Government of Tibet.",block_55
state,collect,tax,1,"In Nepal, the income from the salt trade was very high and the Nepalese state also collected a tax through...",block_55
who,receive,nomads,2,"In Zan- skar, for example, the Zanskaris (who received the Tibetan salt from the Rupshu nomads) exchanged it with the Bods of Paldar, and the Bods in turn with the Pa- haris, with a consequent increase in the price of the product.",block_57
zanskaris,exchange,bods,2,"In Zan- skar, for example, the Zanskaris (who received the Tibetan salt from the Rupshu nomads) exchanged it with the Bods of Paldar, and the Bods in turn with the Pa- haris, with a consequent increase in the price of the product.",block_57
nomads,exchange,bods,1,"...the Rupshu nomads) exchanged it with the Bods of Paldar, and the Bods in turn with the Pa- haris, with a consequent increase in the price of the product.",block_58
