Source,Relation,Target,Weight
nam-ri-srong-tsan,ARRIVED,northern desert plain,1
nam-ri-srong-tsan,KILLED,dong (wild yak) with terrible horns called thal-kar-ro-ring,1
alt,PRODUCT,mankind,1
tibetans,ATTRIBUTES_VALUE,salt,1
5th dalai lama,EMBALMED_WITH,salt,1
śiva,REVEALED_IDENTITY_TO,gaddi shepherd,1
tibetans,CONSUMES,"tea, salt and yak butter",1
tibetan plateau,COVERED_BY,great sea,1
changthang,CONTAINS,salt lakes,1
nam tso,IS,celestial lake,1
drokpas,EXTRACT_SALT,lakes,1
spring,ARRIVES,april,1
women,ARE_NOT_ALLOWED_TO_GO,salt lake,1
son (bopu or bopsa),LEARNED_FROM_ELDERLY,extracting salt,1
zopon,FINDS_PASTURE_AND_WATER,animals,1
drokpas,CONSIDER_SALT_LAKES_AS,divine gift,1
guru rinpoche,DUG_AND_BLESSED,12 salt lakes in the north,1
nomads,BELIEVE_EACH_LAKE_IS,heart of a living buddha,1
saltmen,FOLLOW_ESTABLISHED_RULES,during expedition,1
the salt,TRIPS,in tibet and the himalayas,1
mals,DROVE,to transport the salt on the return trip,1
yaks,WERE,usually used to transport the salt,1
sheep and goats,HAVE THE ADVANTAGE OF,saving time for nomads,1
nomads,BEGAN,to break the salt into small pieces,1
yak or sheep horns,WERE USED TO,break the salt into small pieces,1
nomads,ACCUMULATED,the salt in conical piles,1
caravan,AIMED TO EXCHANGE,salt (and other goods) for products,1
caravan,CROSSED,the dangers that threatened men and animals,1
institution,KNOWN AS 'COMMERCIAL FRIENDSHIP' OR 'FICTIVE KIN',"netsang, literally 'nesting place'",1
nomads,ALLOWED,to collect salt,1
rupshu,HAD AN AGREEMENT,with the tibetan government,1
tibetan government,GRANTED LEAVE,to the goba of rupshu,1
goba of rupshu,PAID TAX,to the government of tibet,1
tsasho,WAITED PATIENTLY,at the ferry crossings,1
nepalese state,COLLECTED A TAX,through subbas,1
gorkhas,DECLARED WAR ON TIBET,in the late 18th century,1
zanskaris,EXCHANGED,with the bods of paldar,1
bods,EXCHANGED,with the pa-haris,1
"merchants, lamas, pilgrims, nomads, aristocrats, vagabonds and outlaws",GATHERED,in the markets,1
"people from distant kinnaur, bhotias of garwhal and kumaon, limiwas, humlis and mugulis",CARRIED,the salt to their homes,1
lobas of mustang,LOADED,the salt to carry it through the narrow canyon,1
"nubripas, langtangpas and sherpas",COLLECTED,the salt that would reach the eastern valleys of nepal,1
lake,LOCATED NEAR,taklung tshondu,1
bhutanese,ATTENDED,large seven-day fair,1
bhutanese,BROUGHT,"salt, tea, silk, musk, gold dust, dried lamb legs and sheepskins",1
northeastern bhutanese merchants,CARRIED,rice through the icy pass of me la10 to barter in dongkhar or tsona dzong,1
lhasa aristocracy,PRIZED,rice,1
tibetan government official,RAN,drekhang or 'rice house',1
monpas and bhutanese,EXCHANGED,rice with the tibetan government official,1
lepchas and lhopos of sikkim,BELIEVED,"their sacred mountain, the kang-chenjunga, holds in its five peaks five valuable treasures that will be available to humans in times of need",1
tibetans,CROSSED,the border to exchange their products at the tsampa trading station,1
tibetan traders,EXCHANGED,"their goods in trashi-yangtse and trashigang, especially at the pilgrimage festivals of chorten kora and gomphu kora",1
tso ngonpo,SURROUNDED BY,brackish and marshy sands,1
bhutanese,BRINGING,rice to tibet through tawang,1
ladakhis,TRANSPORTING,salt to kashmir as part of the same tax (called locally here begar),1
jigme namgyal,STATIONED,at this station as a tsongpon ('master-trader') or representative of the powerful trongsa district,1
jigme namgyal,MET,"his wife, pema choki, at the nearby lhalung monastery",1
trade routes,OFTEN THROUGH,pilgrimage centers,1
salt collectors,PRAISED,lake tsaka,1
nomadic groups,CARRIED,"salt to the lands bordering china, and southward to the agricultural valleys of the upper dri chu (yangtse) and of the upper nyak chu (yalong) in kham, where it was exchanged for grain",1
many other smaller lakes,EXPLOITED AND THEIR SALT TRANSPORTED ON YAKS OR CAMELS,to reach its destination,1
dabusun nor,CARRIED THE SALT TO,"the town of tongkhor, an important trade center in the amdo-gansu border area in the early 20th century",1
mongolian and tibetan nomads,EXPORTED,amdo wool and lamb skins to china from the town of tongkhor,1
men,CARRIED OUT EXCLUSIVELY BY,salt expeditions,1
becoming a salt man,CONFERRED,a reputation of being a 'real man': an added masculinity that facilitated success with women,1
amdowa tribes,HAD,salt station or tshwa sgo,1
sangs rgyas tshe ring 2019,PUBLISHED,p. 22,1
many amdowa tribes,BURNED,bsang and sprinkled water from the lake skyward,1
"1,000 female deities",BELIEVED INHABITED,the lake,1
members of the harvesting team,GATHERED,to celebrate the tsaw bvi nang skyid feast,1
caravans,JOURNEYED,of salt porters,1
amdo town,HAD,salt,1
changthang,HAD NO CONDITIONS FOR CEREAL CULTIVATION,none,1
nomads of the lake area,TRANSPORTED,"salt and other livestock products loaded on yaks, sheep or camels to the agricultural areas",1
traders from the agricultural areas,CAME TO THE LAKES,to exchange salt for grain,1
tsa lam (salt route),RAN,that transported salt from the three lakes mentioned above and many others to the commercial centers of the amdo valleys,1
traders,NEVER STRAYED FAR FROM THEIR,rifles and swords,1
goloks,WERE EXEMPT FROM SUCH CONCERNS,since their reputation as fierce warriors and their own banditry preceded them throughout the tibetan world,1
goloks,TRADE,salt,1
golok country,LOCATION,kyaring tso and ngoring tso,1
caravans,HEADING,nakchu and lhasa,1
goloks,EXCHANGING,grain near nang dzong in kongpo,1
amdo,EXPORTING,mineral wealth to china,1
chinese and muslims of amdo,ACTING AS INTERMEDIARIES,between the amdowa tibetans and the chinese world of gansu and northern sichuan,1
amdo,EXPORTING,wool to china,1
amdo,TRAFFICKING,"arms to soldiers, tibetan princes and chiefs, armories of monasteries, and bandit groups",1
amdo's trading centers,HUBS,"mongol and tibetan nomads, hui and salar muslims, tu peasants and local han chinese, golok warriors and chinese merchants",1
