Source,Relation,Target,Weight,Evidence,Confidence
china,regulates,tibetan suzerainty,1,Some of the little states acknowledge a Tibetan suzerainty and some a Chinese;...,0.8
china,taxes,tibet,1,Some pay tribute to both nations and others claim a complete independence.,0.7
tibet,taxes,china,1,Some pay tribute to both nations and others claim a complete independence.,0.7
tibet,depends_on,mountains,1,Its slopes by intercepting the moisture-laden clouds of the south-west monsoon exercise an important effect upon the climate of E a ~ t  Tibet.,0.8
the kanlali river,connects_to,the manasarowar lakes,1,A little further east the Kanlali river rises to the south of the mountains fringing the south of the basin of the Manasarowar lakes and flowing past 'I'akNakar crosses the Nepal frontier,0.9
the tsangpo or brahmaputra river,governs,the basin of the manasarowar lakes,1,"Wc find for instance l amjan-Khamba, Machang Tsangpo, Ngari-chu-Tsangpo, Yaru 'l'sangyo, and comnlonest of all Tsang-chu, or the waters of Tsang ; whilst lower down after leaving Tibet it becomes the Dihang and joins the Lohit Brahmaput~ra at Sadiya",0.8
raka t~angpo,connects_to,main stream,1,"Between east longitude 86O and 88O a large tributary, the Raka T~angpo, flows parallel to the main stream (whose course is only approximately known) and joins it near the 88th degree of east longitude",0.9
tile yalung river,connects_to,baian-liara-nla range,1,"The Tile Yalung river rises on the southern slopes of tllc Raian-tuknill Innlln~ills, a mountainous country to the cast of the Y alung and flows nearly due south to the east of Ta-teien-It,",0.9
tile yalung river,connects_to,yangtse,1,It joins the Yangtse on the left hank on the northern frontiers of Yun-nan.,0.95
giama n p chu,connects_to,lou-tse-kiaw,1,"The Ou Kio or Oi Chu joins the left bank of the Giama N p Chu and the river, now known as the Lou-tse-Kiaw still flows southwards...",0.9
lou-tse-kiaw,connects_to,salwen,1,"...the river, now known as the Lou-tse-Kiaw still flows southwards until it leaves Tibetan territory and enters a region inhabited by wild tribes at about 28' north latitude. Passing through a portion of western Yunnan it crosses the frontier of Burma and reaches the sea as the Salwen.",0.9
za-yul,connects_to,tsangpo,1,In the extreme south-east corner of Tibet is a river named the Za- yul from the district through which it flows. The stream leaves Tibetan territory near the village of Same and flowing through the Mishmi country joins the Tsangpo at Sadiya as the Lohit Brahmaputra.,0.9
khotan,connects_to,takla makan desert,1,"The chief streams are the Khotan, Keria, Nia, Tolan Khoja, Bostantograk, Moldja, and Kara-muren streams which drain into the Takla Makan desert.",0.8
keria,connects_to,takla makan desert,1,"Of these the Keria river, which is the longest, rises on the northern surface of the Chang Tang and breaking through the Kuen Lun crest flows southwards past Polu in a steep and difficult channel and loses itself in the sands of the desert.",0.9
cherchen daria,connects_to,aiag-kum-kul,1,Further to the east we find the Cherchen Daria whose feeders flow from the southern slopes of the Akka Tagh range and forcing their way through the Tokus Davan mountains unite north of Cherchen and flow in a northerly direction past that town. The remainder of the great upland between the Astyn Tagh and Akka Tagh is self-contained like the Chang Tang proper and drains into the large lakes-the Aiag-Kum-Kul and the Achik-Kul.,0.9
batygantu,connects_to,teaidam,1,The eastern half of the Kuen Lun mountains sheds the waters from its northern face into the marshy low-lands of Teaidam.,0.8
naichi go1,connects_to,dah-suil lake,1,'Tbe two streams from west and east unite to flow due north into the Dah-suil Lake.,0.9
tibetans,negotiates_with,lhasa and central tibet rulers,1,Well-informed Tibetans from Lhasa and Central Tibet as a rule are only acquainted with such portions of Kam as are traversed by the high roads to Ta-tsien-lu ; and the natives of the country are generally grossly ignorant of all topographical details but those of the small tract with which their experience has familiarized them,0.8
goloks,trades_with,merchants of kan-su and se-chuan,1,"They are also carriers, and as such intermediaries between the merchants of Kan-su and Se-chuan and of eastern Tibet.",0.8
tibetan tribes,depends_on,chineae government,1,"Of these we are told that thc tribes of pastoral Tibetans along the course of the Dre Chu or Yangtse from its sources to aye-knn-do, or even a little further east, were organised By the Chineae Government in 1732 into 39 hundreds ruled by hereditary chiefs or delas...",0.9
tibetan states,controls,"roads-from china, mongolia, lhasa, ta-tsien-111, derge, etc.",1,"The meeting place of numerolls roads-from China, Mongolia, Lhasa, Ta-tsien-111, Derge, etc., and is the trade emporium for Eastern China...",0.85
derge,controls,own affairs,1,...and have since continued to conduct their own affairs with occasiolial squabbles with their neiphbours...,0.9
chinese government,regulates,horpa country,1,"This section of Kam occupies a portion oE the basin of the J a  Chu and its tributary ~treams to the east, and is divided into five small states called Kangsar, Mazur, Berim, Chuwo, and Change...",0.8
chinese commissioner,supplies,tibetan troops,1,"...who has a large escort to number 1,000) of Tibetan troops.",0.85
china,governs,lhara,1,But there are still some tribes of Tibetan origin living between Kam and the frontiers of Se-ohm on the upper course of the Ta-kin-ho or Tung river of whom mention should be made when considering the geographical and political divisions of this part of Asia.,0.8
colonel prjevalsky,trades_with,tibetan and mongolian traders,1,He followed the caravan route usually taken by Tibetan and Mongolian traders between Lhasa and Si-ning,0.8
tibetan government officials,administers,various offices held by laymen or monks,1,"Each rank is distinguished by a different button after the Chinese fashion, but these buttons are worn only by lay-officials.",0.8
tibetan government officials,controls,chinese powers,1,The buttons are bestowed by the Chinese powers as a complimentary decoration.,0.9
tibet,trades_with,neighbouring countries,1,As regards trade-routes it is sufficient here to notice the following: among them the most important -,0.8
srong-tsan-gam-pol,governs,tibet,1,"During thc course of the seventh century (6 1 7- 639) a native King, one Srong-tsan-gam-pol established himself as ruler at Lhasa, and having ...",0.8
thon-mi sam-bhota,extracts_from,buddhist religion and indian system of writing,1,This Minister (Thon-mi Sam-bhota) to India to bring back with him what he could of the Buddhist religion and the Indian system of writing.,0.8
guori khan,controls,tibet,1,the Mongols under their prince Gueri Khan invaded Tibet and having dethroned all the petty princes of the country they made the then Tale Lama supreme.,0.8
chinese emperor kang-hi,governs,china,1,Towards the close of the seventeenth century internal troubles and revolutions in Tibet induced the Chinese Emperor Kang-hi to send an army to Lhasa.,0.8
pi fan,disputes,tale lamas,1,"Suspicion as naturally aroused and fell upon the Repent, a man named Pi Fan, a native of Kan-su.",0.8
chinese,governs,tibet,1,In the year 1544 the scandals current in connection with the Regent compelled the intervention of the Chinese in the domestic politics of Tibet.,0.9
pe-chi,regulates,lhasa,1,internal troubles at Lhasa brought him again upon the scene and he was able to resume his former position which he maintained until his death in 1869.,0.8
tibetans,controls,derge,1,"Nya-rong attacked and overran a portion of Derge, but the Tibetans came to the assistance of Llerge, drove out the people of Nya-rong and finally occupied that state, which they have held ever since.",0.9
chinese,taxes,gyarong district,1,"The Chinese, taking advantage of these disturbances, invaded the Gya-rong district on the western border of Se-chuan, and completely subjugated it.",0.8
tibetans,trades_with,india,1,"The provisions of the treaty of peace relate chiefly to Sikkim, but amongst the articles of the convention occurs one providing for increased facilities of trade between India and Tibet.",0.9
tibet,disputes,the northern frontier of sikkim,1,"This latter frontier, however, has never been acknowledged by the Tibetans and is still a matter of dispute.",0.9
