Source,Relation,Target,Weight,Evidence,Confidence
tibet,trades_with,india,2,"...returns are kept and the trade is registered; but elsewhere no statistics are forthcoming... The inland trade of Tibet is focuesed at the great markets of Lhasa and Shigatse... | The annual value of the trade of Tibet with India is some thirty lakhs of rupees (J2,200,000)",0.7
tibetan travellers,trades_with,india,1,TIBETAN TRAVELLERS... Trade with India -Trade with Ladak -Trade with China -Trade with Mongolia- Trade with Nepal...,0.9
chang tang,connects_to,chinese turkestan,1,Beginning at the north-west corner of the country where the northern limits of the Chang Tang abut upon Chinese Turkestan...,0.9
yung ling range,connects_to,min shan mountains,1,Crossing the river at this point a continuation of the same general direction eastwards through another degree of longitude brings the line to the extreme north-west of the great Han-Sun-Lin or Yung-Ling mountains.,0.9
tibet,governs,yo-yul,1,"Yo-yul, although practically independent, is nominally subject to Ll~asa and must be included in Tibetau territory.",0.8
kuen lun mountain,connects_to,pang-ng lake,1,After crossing the Pang(-ng Lake the Ladak-T~bet Frontier takes a north-cast junction until it reaches the crest of the Kuen Lun mountains...,0.9
tengri nor,connects_to,nin-chen-tang-la mountain range,1,Further east to the south of Tengri Nor the range has been crossed in several places by native explorers and also by Mr. Littledale...,0.9
ynng ling chain,connects_to,yangtse kiang,1,It appears to be an immense mountain mass running in two parallel chains from north to south amongst the northern feeders of the Yangtse Kiang...,0.8
tile yalung river,connects_to,nag chn,1,"Tile Yalung river, known in its upper course as the Ja Chu and lower course as the Nag Chn...",0.9
tile yalung river,connects_to,yangtse,1,...it joins the Yangtse on the left bank on the northern frontiers of Yun-nan.,0.95
dza chu,connects_to,tile yalung river,1,"The principal feeders of the river are the Dze Chn, the Dza Chi, and the Nomu Cha...",0.85
dze chu,connects_to,tachi gompa,1,"...it flows in a narrow, shut-in valley, which below Tachi Gompa becomes alpine.",0.8
lan-tsnng-kiang,connects_to,mekong,1,...in its lower reach it is known as the Mekong.,0.9
shigatse,controls,monastery of 'l'ashi lhunpo,1,"the residence of the Pellcheu Rinpoche, the second ecclesiastical dignitary of Tibet; and to the muth-west lies the ancient monastery of Sakya...",0.9
china,controls,kam,1,during the last two centuries China has been continually encroaching upon this region and ever since she succeeded in establishing a paramount influence at Lhasa has been gradually absorbing as much as possible of the border country.,0.8
lhnsa,administers,portions of kam,1,"portions of Kam, it is true, are directly administered by Lhsa, and portions by China ;",0.9
goloks,trades_with,merchants of kan-su and se-chuan,1,"They are also carriers, and as such intermediaries between the merchants of Kan-su and Se-chuan and of eastern Tibet.",0.8
tibetan tribes,trades_with,china,1,They pay tribute to China.,0.9
chinese government,administers,39 hundreds (ruling hereditary chiefs or delas),1,"Of these we are told that the tribes of pastoral Tibetans along the course of the Dre Chu or Yangtse from its sources to aye-knn-do, or even a little further east, were organised By the Chinese Government in 1732 into 39 hundreds ruled by hereditary chiefs or delas...",0.4
