Source,Relation,Target,Weight
helena norberg-hodge,AUTHOR,none,2
ladakh,HAVE,vigorous social and cultural identity,1
tibetan tradition,BE,one component,1
the modern world,ERODE,ladakh's social and cultural identity,1
the visitor to ladakh,BENEFIT FROM,descriptions of places,1
the book,GIVE,indications as to what [the visitor] might keep his eyes open for,1
ladakh,BE,"available to anyone with access to the literature of buddhism, or of central asian and tibetan travel",1
the author,HAVE BEEN LUCKY ENOUGH,to live there for some years,1
leh,BE,home,1
sayeed rizvi,BE,"development commissioner, or head of the district administration",1
the author and sayeed rizvi,ACQUIRE,wide knowledge of the country as it is today,1
ladakh,BE,"single district, in area india's largest, in population one of its smallest",1
the author,LIVE,in leh,1
kargil district,OMIT ALL MENTION OF,some particularly interesting regions,1
zanskar,BE,one of ladakh's most beautiful and isolated valleys,1
da-hanu,PURSUE A WAY OF LIFE UNIQUE IN THE WORLD,buddhist dards,1
shagkar-chigtan,BE,"a nominally muslim area rich in buddhist survivals, and with a wealth of oral literature unsurpassed anywhere else",1
friends,MADE,contribution,1
beera,SHARED,passion,1
t .k  mitra,SHARED,passion,1
trevor morlin,SHARED,passion,1
camila perez,SHARED,passion,1
helena norberg-hodge,SHARED,passion,1
james crowden,SHARED,passion,1
tadzin joldan,SHARED,passion,1
abdul majid,BRIEFED,on developing economy,1
prakash gole,REPLIED,to queries on bird life,1
professor luciano petech,PROVIDED,information on ladakh's history,1
andrew roberts,CHASED UP REFERENCES,material,1
akbar ladakhi,FREELY AND GENEROUSLY PROVIDED,unrivalled understanding of ladakh,1
pinto narboo,PROVIDED,title,1
joldan family,GAVE,most generous hospitality,1
abdul majid,ORGANIZED,gompa visits,1
norbu rizvi,ABSOLVED,of duties usually expected of the bahu,1
joanna van gruisen,GAVE PERMISSION TO USE,photographs,1
andrew roberts,GAVE PERMISSION TO USE,photographs,1
jamal rizvi,GAVE PERMISSION TO USE,photographs,1
one school of thought,LAMENTS THE EROSION,of the characteristically ladakhi qualities,1
education on offer,HAS DONE LITTLE TO NURTURE,"con­fidence, and their pride in their own culture",1
a very senior official of the government of india,COMMENTED ON,the largely ladakhi membership of the seminar,1
jammu and kashmir directorate of tourism,HAS ON THE WHOLE RISEN TO THE CHALLENGE,"exhibiting a feel for ladakh’s unique qualities, and an awareness of the threat",1
international association of ladakh studies,MEET,conference,1
institute of ladakh studies,SETUP,leh,1
ladakhi participation,ENSURE,study,1
ladakhi scene,INCREASE,knowledge and insight,1
original text of this book,REVISIT,new edition,1
trades of pre-modern ladakh,RESEARCH,my own research,1
"chapter 6, 'hazardous trails'",REWRITE,summary findings,1
scholars,CITE,bibliography under the head 'recent published works: academic studies',1
john crook and henry osmaston,EDIT,himalayan buddhist villages,1
ladakh studies,COME OF AGE,1994,1
himalayan buddhist villages,PROVIDE,information and insights,1
polyandry and the pha-spun,ANALYZE,chapter 8,1
