Book,SentenceIndex,CircuitTags,InFinalEvidence,MentionsFinalGraphNode,MatchedEdges,Sentence
British_Garhwal,11,Commodity circuits,no,yes,ganges division -[governs/Political economy]-> forests | gold -[extracts_from/Commodity circuits]-> river | people -[depends_on/Commodity circuits]-> forests,"Boundaries and area 
Rivers ‘aes se 
Mountains ae 
Geology and minerals 
Forests..."
British_Garhwal,71,Political economy|Route/place circuits,no,yes,british government -[governs/Political economy]-> tehri state | district -[governs/Political economy]-> pargana | gold -[extracts_from/Commodity circuits]-> river | state -[taxes/Political economy]-> landholders | tehri state -[governs/Political economy]-> garhwal district,"On the south the cart-road at the foot 
of the hills forms the boundary between it and the Bijnor district, 
and on the west and north-west the river Ganges as far as Deo- 
prayag, the Alaknanda as far as Rudraprayag, and the Mandagini 
as far as Agastmuni divide it from the district of Dehra Dun and 
the Tehri state."
British_Garhwal,74,Political economy|Route/place circuits,no,yes,"debi chand -[governs/Political economy]-> kumaon | garhwal -[governs/Political economy]-> forest dues or keth-bans, and kath mahals | garhwal -[governs/Political economy]-> wages | garhwal -[supplies/Commodity circuits]-> cloth | garhwal -[supplies/Commodity circuits]-> iron","Transfers of territory were frequent when the two 
states of Kumaon and Garhwal were constantly fighting, and not 
rare even after the British occupatiou—though due then to peaceful 

® Measured on the map, The distance by road from Chilaiu the south- 

west to the Niti pass is over 200 miles."
British_Garhwal,162,Salt anchor,no,no,,"It has a somewhat saline taste and the 
stones are discoloured by reddish sediment."
British_Garhwal,169,Commodity circuits,no,no,,Minerals.
British_Garhwal,178,Political economy|Route/place circuits,no,yes,bhotias -[trades_with/Commodity circuits]-> tibet | captain drummond -[negotiates_with/Political economy]-> government | commissioner -[governs/Political economy]-> mines | fateh sah medini sah -[governs/Political economy]-> tibet | government -[governs/Political economy]-> all rivers,"‘To the north of the central axis, the Tibetan watershed, in 
the neighbourhood of the Niti Pass, introduces an entirely new and 
vast sequence of marine strata from silurian to cretaceous, including 
a fine development of trias, 

The Kumaun division has always borne a high reputation for 
mineral wealth—a reputation not so far justified by results, The 
mines have according to tradition, been worked for over 200 years; 
and after the British occupation the Government turned its atten- 
tion to the subject."
British_Garhwal,182,Political economy,no,yes,commissioner -[governs/Political economy]-> mines | gurkha government -[governs/Political economy]-> revenue | gurkhas -[governs/Political economy]-> garhwal and china | gurkhas -[supplies/Commodity circuits]-> kumaon and the neighbouring provinces,"The place selected was Pokhri in Talla Nagpur, 

The copper mines here had been worked under the Hindu rulers 
and the Gurkhas : tradition asserted that under the latter régime 
they had yielded an annual revenue of half a lakh of rupees, But the 
output had been decreasing between 1803 and 1838, in which year 
the revenue was only Rs."
British_Garhwal,197,Commodity circuits,no,yes,"district -[governs/Political economy]-> pargana | ganges division -[governs/Political economy]-> forests | garhwal -[governs/Political economy]-> forest dues or keth-bans, and kath mahals | garhwal -[governs/Political economy]-> wages | garhwal -[supplies/Commodity circuits]-> cloth","Other 
minerals, 


Building 
materials, 


Forests, 
early 
history, 


10 Garhwal District."
British_Garhwal,198,Political economy|Route/place circuits,no,no,,"transport and fuel : and though Captain Drummgnd pointed out 
that copper ore could be carried from Chili to Swansea and smelted 
there at a profit, and instanced Russian and Swedish iron smelted 
entirely with charcoal, the fact remains that Himalayan mining has 
failed to attract capital."
British_Garhwal,201,Route/place circuits,no,yes,contractors -[trades_with/Commodity circuits]-> sal timber | government -[licenses/Political economy]-> contractors,"The latter is an impure sulphate of alumina and is much prized as 
a panacea for all ills, It is sold as “ minor forest produce ”’ and the 
contractors do a great trade during the pilgrim season at the 
chattis along the road."
British_Garhwal,213,Political economy,no,yes,gurkha government -[governs/Political economy]-> revenue,"The most simple mode of realizing the revenue was by 
the exaction of an excise on produce exported."
British_Garhwal,214,Political economy,no,no,,"This excise was 
collected, with the transit duties on trade, at one of a chain of 
chaukis established for the purpose at the foot of the hills."
British_Garhwal,218,Political economy,no,yes,gurkha government -[governs/Political economy]-> revenue,"The resultant revenue 
increased from Rs."
British_Garhwal,258,Political economy,no,yes,gurkha government -[governs/Political economy]-> revenue,"By far the most valuable article of forest produce is the 
bamboo, from which more than half the annual forest revenue 
is derived."
British_Garhwal,266,Political economy,no,yes,captain drummond -[negotiates_with/Political economy]-> government | government -[governs/Political economy]-> all rivers | government -[governs/Political economy]-> district forests | government -[governs/Political economy]-> estate | government -[governs/Political economy]-> government factories,"Najibabad and Nagina are considerable trade centres ; and at 
Roorkee in addition to the ordinary wants of the town the 
government workshops require large quantities of fuel and 
charcoal."
British_Garhwal,283,Political economy,no,yes,contractors -[trades_with/Commodity circuits]-> sal timber | ganges division -[governs/Political economy]-> forests | government -[licenses/Political economy]-> contractors | gurkha government -[governs/Political economy]-> revenue | people -[depends_on/Commodity circuits]-> forests,"In 
1858 contractors were allowed to cut what they liked, paying for 
the timber at specified rates as they took it from the forests, two 
lines of chaukis being kept up to collect and check the revenue."
British_Garhwal,299,Political economy,no,yes,gurkha government -[governs/Political economy]-> revenue,"The revenue and expenditure 


General Features."
British_Garhwal,303,Political economy,no,yes,ganges division -[governs/Political economy]-> forests | government -[licenses/Political economy]-> grazing rights | gurkha government -[governs/Political economy]-> revenue | people -[depends_on/Commodity circuits]-> forests,"The rights admitted 
are on a very liberal scale, especially the grazing rights ; the result 
being that although parts of the forests are very heavily grazed the 
revenue under this head is small and in such parts the crop is very 
open and regeneration almost nil."
British_Garhwal,307,Political economy|Social actors,no,no,,"Many rest-houses have been put up during 
the last 25 years for the convenience of officials travelling on duty."
British_Garhwal,318,Political economy|Social actors,yes,yes,captain drummond -[negotiates_with/Political economy]-> government | deputy commissioner -[controls/Political economy]-> district forests | district -[governs/Political economy]-> pargana | ganges division -[governs/Political economy]-> forests | government -[governs/Political economy]-> all rivers,"But the Government has avowed the policy 
of administering the district forests entirely for the benefit of the 
people."
British_Garhwal,365,Political economy|Social actors,no,yes,ganges division -[governs/Political economy]-> forests | gold -[extracts_from/Commodity circuits]-> river | nayar river -[supplies/Commodity circuits]-> villagers with fuel and timber | people -[depends_on/Commodity circuits]-> forests,"Itis necessary therefore 
to control extensions of cultivation which may damage existing or 
potential forests and curtail pasture land, already not abundant, 
South of Chaundkot and Barahsyun is the Nayar river with its 
steep shaly banks, covered for the most yart with a prolific bush 
jungle, which supplies the neighbouring villagers with fuel and to 
a certain extent with timber."
British_Garhwal,405,Commodity circuits,no,yes,water -[supplies/Commodity circuits]-> fields,"the horse chestnut (pangar) and the sycamore, The wood of the 


latter is sometimes turned on a rough lathe, worked by water 


"" power, into drinking vessels."
British_Garhwal,418,Commodity circuits,no,no,,"Up to 
about 3,000 feet the mango and jamwn of the plains a#e very 
common, Above them are wild apples, pears, medlars, cherries, 
apricots, plums and peaches, Oranges and limes (of excellent 
flavour if coarse texture), plantains, and pomegranates grow 
everywhere, The walnut is found both wild and cultivated."
British_Garhwal,435,Commodity circuits,no,no,,"A single panther, blood-thirsty rather than 
hungry, has been known to exterminate the whole very valuable 
herd of pack goats belonging to an itinerant Bhotia."
British_Garhwal,442,Commodity circuits|Social actors,no,yes,district -[governs/Political economy]-> pargana | gurkhalis -[disputes/Political economy]-> people | people -[depends_on/Commodity circuits]-> forests | people -[supplies/Commodity circuits]-> food | people -[supplies/Commodity circuits]-> labour,"His favourite food is however the millet known as mandua : 
though at times he will in default of more savoury provender 
feed on acorns and other jungle fruit, and is even occasionally 
carnivorous, His sight and hearing are good and he is very 
savage; a large number of people are mauled by bears every 


General Features, 93 


year in the district."
British_Garhwal,443,Commodity circuits,no,no,,"In winter he hibcrnates, especially in the 
lower hills, and is in fact rarely scen except in the rains, He not 
infrequently kills cattle, sheep and goats."
British_Garhwal,446,Commodity circuits,no,yes,banjbagar -[connects_to/Route/place circuits]-> pindar | ganges division -[governs/Political economy]-> forests | nan dkeshari -[connects_to/Route/place circuits]-> pindar | people -[depends_on/Commodity circuits]-> forests,"The 
wolf is rarely if ever fourd in the hills, Wild dogs are not 
uncommon in the forests of the Pindar vaJley, Dudatoli and 
a few other places, The jackal is ubiquitous, The mountain fox 
is a fine beast with good thick fur, Other interesting animals 
are the pine marten (chutraila) and the otter (od) which cause 
much destruction among small game and fish respectively."
British_Garhwal,455,Commodity circuits,no,no,,"The musk deer (kastura) is 
seldom found below 8,000 fect."
British_Garhwal,456,Commodity circuits,no,no,,"The hair is coarse and very brittle 
and the hind legs are longer than the fore legs."
British_Garhwal,458,Commodity circuits,no,no,,"Other 
wild 
animals, 


Avifauna."
British_Garhwal,461,Commodity circuits,no,no,,"The musk pod is found 
in an abdominal gland."
British_Garhwal,468,Commodity circuits|Route/place circuits,no,no,,"The barhul is found in the 
Niti Pass and «lsewhere between 10,000 and 16,000 fect, It 
is a wild sheep living on bare grassy slopes."
British_Garhwal,495,Commodity circuits,no,no,,"The cows are wretched 
milkers producing usually nop more than a seer of milk a day."
British_Garhwal,497,Commodity circuits|Social actors,no,yes,"garhwal -[governs/Political economy]-> forest dues or keth-bans, and kath mahals | garhwal -[governs/Political economy]-> wages | garhwal -[supplies/Commodity circuits]-> cloth | garhwal -[supplies/Commodity circuits]-> iron | garhwal -[supplies/Commodity circuits]-> salt","Cattle 


The yak, 


a8 Garhwal Distriet, 





The cattle are usually kept at night in the goth under the dwell- 
ing-house or in separate cowsheds, They aro littered with oak 
leaves and at the end of the year or possibly more often the shed 
is cleared out and its contents taken to the fields, Fodder consists 
chiefly of grass carried in from tho more precipitous hillsides 
by the women, bhywnl leaves or straw."
British_Garhwal,498,Salt anchor|Commodity circuits,no,yes,ganges division -[governs/Political economy]-> forests | people -[depends_on/Commodity circuits]-> forests | water -[supplies/Commodity circuits]-> fields,"Salt israrely given, The 
cattle graze among the stubble of harvested fields, in the forests, 
or in village pastures."
British_Garhwal,505,Commodity circuits,no,no,,"In October some of this is cut and 
stored for the winter and in the middle of November, when snow 
storms are liable to become dangerous on the upper hills, the cattle 
are turned loose to graze in the preserves near the village, 
Buffaloes are kept for milch purposes: they do not appear to find 
the hills uncongenial, 

The yak is occasionally in the extreme north tamed and 
reduced to domestic servitude."
British_Garhwal,507,Commodity circuits|Political economy,no,yes,"garhwal -[governs/Political economy]-> forest dues or keth-bans, and kath mahals | garhwal -[governs/Political economy]-> wages | garhwal -[supplies/Commodity circuits]-> cloth | garhwal -[supplies/Commodity circuits]-> iron | garhwal -[supplies/Commodity circuits]-> salt","When the sire is a yak and the dam a hill cow the 
product is called jubu ; when the parentage is reversed, garjo, The 
yak will carry two or three maunds, is docile and surefooted : and is 
often ridden, The wild yak is not found in British Garhwal."
British_Garhwal,508,Commodity circuits,no,yes,district -[governs/Political economy]-> pargana,"It 
is a much finer beast than its domesticated cousin, and in the 


General Features, ay 





expressive words of the peasant the liver of a wild yak is a load 
for a tame one, 

Two kinds of goats are known in th: district."
British_Garhwal,509,Commodity circuits|Route/place circuits,no,yes,"garhwal -[governs/Political economy]-> forest dues or keth-bans, and kath mahals | garhwal -[governs/Political economy]-> wages | garhwal -[supplies/Commodity circuits]-> cloth | garhwal -[supplies/Commodity circuits]-> iron | garhwal -[supplies/Commodity circuits]-> salt","The indigenous Sheep and 
goat of middle and lower Garhwal differs in no essential from the aii 
ordinary plains animal: it is bred for its meat, The long-haired 
sturdy Bhotia guat is usually imported from the western Himalayas, 
such as the Kangra valley, and to some extent also is bred in’ 
Badhan."
British_Garhwal,511,Commodity circuits,no,no,,"Sheep may be divided 
into similar classes, The pack-animals carry small saddle bags 
called phancha made of hemp backed with leather."
British_Garhwal,512,Commodity circuits,no,no,,"A sheep will 
carry a load of about ten sers and a goat about twelve sere."
British_Garhwal,518,Commodity circuits,no,yes,bironkhal -[connects_to/Route/place circuits]-> centre of the district | district -[governs/Political economy]-> pargana | pauri -[connects_to/Route/place circuits]-> centre of the district,"Both these diseases have however been known as far 
north as Paidulsyun, Gagwarsyun and Katholsyun in the centre 
of the district and occurred there in 1905 and 1906, Foot-and- 
mouth disease (4hwria) occurs throughout the district ; the Bhotiag’ 
animals are the usual vehicle of the disease."
British_Garhwal,519,Commodity circuits,no,yes,district -[governs/Political economy]-> pargana,"Hemorrhagic 
septicemia (bamka) and sheep-pox (ataila) are fairly common 
diseases in the northern pargana, where they cause much loss, 
There are now two veterinary assistants attached to the district; 
the district however is very large and with reports arriving late it 
is difficult to stamp out incipient disease."
British_Garhwal,520,Commodity circuits|Social actors,no,yes,gurkhalis -[disputes/Political economy]-> people | people -[depends_on/Commodity circuits]-> forests | people -[supplies/Commodity circuits]-> food | people -[supplies/Commodity circuits]-> labour,"The people however 
are awake to their own interests and usually take effective measures 
for the segregation of infected animals."
British_Garhwal,577,Commodity circuits,no,yes,water -[supplies/Commodity circuits]-> fields,"Fields 
which enjoy a perennial supply of water sufficient to flood them toa 
depth of two or three inches are called sera : in these rice can be 
sown in April."
British_Garhwal,578,Commodity circuits,no,yes,water -[supplies/Commodity circuits]-> fields,"A second class of land (also called sera) is of the 
same description, but the water is less plentiful and is therefore 


concentrated on a nursery from which the rice is transplanted in 


June."
British_Garhwal,579,Commodity circuits,no,no,,"Land, often not well levelled, which cannot be flooded but 
which can be wrigated occasionally from guls and is not suitable for 
rice, is called panchur, Unirrigated land is called wkhar, 

All classes of land are of course vastly improved by manuring, 
but in practice the seras are not manured : the silt brought down by 
the guls is considered sufficient to kcep them up to the standard, 
The manure is generally speaking old cowshcd litter or leaf mould, 
In katil the shrubs are burnt and their ashes spread ovcr the land."
British_Garhwal,584,Commodity circuits,no,no,,"“To prepare the ground for seed it is first of all ploughed once 
in the case of coarse kharif crops, such as jhangora and mandua, 
and twice in the case of others, In the case of rice, and sometimes 
wheat, the clods are broken up after each ploughing by an 
instrument like a mallet with a long handle, known as a dilare."
British_Garhwal,590,Commodity circuits,no,no,,"38 





crops have reached the height of a few inches from the ground the 
harrow is applicd, In the case of mandua, jhangora and the 
coarser crops the harrow is applied a second time; in the case of 
rice only once."
British_Garhwal,592,Commodity circuits,no,no,,"The rabi crop is neither harrowed 
nor weeded, except in the case of heavy rain occurring in a clay 
soil after the grain has germinated, when the land is harrowed 
sometimes to let up the shoots."
British_Garhwal,593,Commodity circuits,no,no,,"The crop is cut with a sickle, 
rice being cut off close to the root; while in the case of jhangora 
(panicum srumentaceum or crus galli) or mandua the ears 
only are first cut ; and after the stalks have dried, they are cut and 
stored as fodder."
