view,run,permuted_salt_node,degree,strength,betweenness_lcc,pagerank,in_lcc,largest_component_nodes,components,global_efficiency_loss
validated,1,salt pans,1,1.0,0.0,0.0005451058535083759,True,691,135,9.944063771819e-06
validated,2,"salt, cloth, iron and the like",1,1.0,0.0,0.0005473075981637821,True,691,135,1.2744680086551607e-05
validated,3,the sheep,1,1.0,0.0,0.0004999197175715648,True,691,135,6.894741225363377e-05
validated,4,british capital,1,1.0,0,0.001001001001001001,False,692,135,-0.00019242374833923492
validated,5,thousands and thousands of sheep,1,1.0,0.0,0.0005238278760903868,True,691,135,6.764088746936958e-05
validated,6,salt and wool,1,1.0,0.0,0.0005325123893570225,True,691,135,2.6709464062538157e-05
validated,7,cloth,2,2.0,0.0,0.0007508356946123321,True,691,135,8.97656643198963e-05
validated,8,"barley, wooden wares and other basic necessities",1,1.0,0,0.001001001001001001,False,692,135,-0.00019242374833920717
validated,9,boat,3,3.0,0.008889969195449588,0.0011764577595310415,True,688,136,0.0006064740168099103
validated,10,enormous herds of yak and sheep,1,1.0,0,0.001001001001001001,False,692,135,-0.00019242374833929043
validated,11,four camels from abdall,1,1.0,0.0,0.0005112880379599827,True,691,135,2.9057799486365e-05
validated,12,grain,12,12.0,0.07104165327537809,0.004064919888995073,True,683,139,0.0026998633013253087
validated,13,tea,7,7.0,0.02496678566300414,0.002761548550908651,True,686,139,0.0014253285221753759
validated,14,sugarcane and tobacco cultivation,1,1.0,0.0,0.0005444313722476939,True,691,135,2.0158037167622433e-05
validated,15,"mating of male yak and cows, or female yak and khirkoo bulls",1,1.0,0.0,0.00044359099749444875,True,691,135,0.00013029838776913716
validated,16,coarse wool,1,1.0,0,0.001001001001001001,False,692,135,-0.0001924237483392488
validated,17,wild camel,1,1.0,0.0,0.0005540118216631198,True,691,135,-1.5023988875886851e-05
validated,18,salt from the lakes in trucks,1,1.0,0,0.001001001001001001,False,692,135,-0.0001924237483392488
validated,19,260 young goats,1,1.0,0.0,0.0005164528812867317,True,691,135,6.87050764864583e-05
validated,20,movements of goods from namche bazar across the nangpa la to kyabrak,1,1.0,0.0,0.00044359099749444875,True,691,135,0.00013029838776913716
validated,21,camels,10,11.0,0.04774954976845425,0.003751824734679839,True,689,137,0.0011880443519807354
validated,22,wheat,1,1.0,0.0,0.0005005533347217409,True,691,135,5.457314631636401e-05
validated,23,dairy produce and meat,1,1.0,0.0,0.00044658841777459323,True,691,135,0.00010777240092915696
validated,24,walnut oil revenue,1,1.0,0.0,0.0005003726663643313,True,691,135,7.700493981416257e-05
validated,25,camels,10,11.0,0.04774954976845425,0.003751824734679839,True,689,137,0.0011880443519807354
validated,26,yak-caravan,1,1.0,0.0,0.00044786081960259956,True,691,135,0.0001471083830618669
validated,27,the sheep,1,1.0,0.0,0.0004999197175715648,True,691,135,6.894741225363377e-05
validated,28,british capital,1,1.0,0,0.001001001001001001,False,692,135,-0.00019242374833923492
validated,29,two horses,1,1.0,0.0,0.00049131904306243,True,691,135,5.236459767679613e-05
validated,30,food grains,1,1.0,0.0,0.00047591765175479316,True,691,135,7.76425674606368e-05
validated,31,"wood, milk, vegetables",1,1.0,0,0.001001001001001001,False,692,135,-0.00019242374833929043
validated,32,unrefined sugar,1,1.0,0.0,0.0005820182164843744,True,691,135,-1.577291716957363e-05
validated,33,four horses,1,1.0,0.0,0.0005512051507903009,True,691,135,3.92691122423211e-05
validated,34,"mating of male yak and cows, or female yak and khirkoo bulls",1,1.0,0.0,0.00044359099749444875,True,691,135,0.00013029838776913716
validated,35,"apricots, grain, walnuts, and white radish to trade for salt",1,1.0,0,0.001001001001001001,False,692,135,-0.0001924237483392488
validated,36,woolen goods,1,1.0,0.0,0.0005325123893570225,True,691,135,2.6709464062538157e-05
validated,37,"bartering salt, wool, blankets and goats",1,1.0,0.0,0.00044658841777459323,True,691,135,0.00010777240092915696
validated,38,milk,1,1.0,0.0,0.00043395674453841523,True,691,135,0.00011402266235170655
validated,39,salt market,2,2.0,0.005780322573879486,0.0009929734041368662,True,689,136,0.00037172768987922544
validated,40,grain and cloth,1,1.0,0.0,0.0004982910562456983,True,691,135,5.6468498038406145e-05
validated,41,grains,1,1.0,0,0.001001001001001001,False,692,135,-0.00019242374833920717
validated,42,horses,5,5.0,0.011118147252608965,0.002015391018439103,True,688,137,0.0006470105610969223
validated,43,tsakalho salt taxes,1,1.0,0.0,0.0004685710653299996,True,691,135,6.874640843961e-05
validated,44,milk,1,1.0,0.0,0.00043395674453841523,True,691,135,0.00011402266235170655
validated,45,distribution of salt,1,1.0,0,0.001001001001001001,False,692,135,-0.00019242374833920717
validated,46,salt production,1,1.0,0,0.001001001001001001,False,692,135,-0.00019242374833920717
validated,47,cloth,2,2.0,0.0,0.0007508356946123321,True,691,135,8.97656643198963e-05
validated,48,tibetan salt and butter,1,1.0,0,0.001001001001001001,False,692,135,-0.00019242374833929043
validated,49,chang-luk sheep,1,1.0,0,0.001001001001001001,False,692,135,-0.0001924237483392488
validated,50,wheat,1,1.0,0.0,0.0005005533347217409,True,691,135,5.457314631636401e-05
validated,51,camels,10,11.0,0.04774954976845425,0.003751824734679839,True,689,137,0.0011880443519807354
validated,52,indian salt,6,6.0,0.012935830565336362,0.002280747191886182,True,688,138,0.0009169445756008615
validated,53,mining and minerals,1,1.0,0.0,0.0004313989243563405,True,691,135,0.00015454726443754618
validated,54,availability of a reasonable amount of cash,1,1.0,0.0,0.0005325123893570225,True,691,135,2.6709464062538157e-05
validated,55,copper and brass vessels,1,1.0,0.0,0.00044359099749444875,True,691,135,0.00013029838776913716
validated,56,wooden tubes or buckets,1,1.0,0,0.0006741858271319388,False,692,135,-0.00019024620703118889
validated,57,"the horses, cattle, sheep and camels",1,1.0,0,0.001001001001001001,False,692,135,-0.00019242374833929043
validated,58,trade goods,1,1.0,0,0.001001001001001001,False,692,135,-0.00019242374833929043
validated,59,"cash, a musk deer, a yak-tail, a pony and a hawk",1,1.0,0,0.001001001001001001,False,692,135,-0.00019242374833920717
validated,60,"warm, high-altitude clothing of western manufacture",1,1.0,0.0,0.0005301160624298787,True,691,135,6.541476298788096e-05
validated,61,pashm,4,5.0,0.011539671553514125,0.0017465110712177588,True,687,137,0.0011998716269598086
validated,62,grains,1,1.0,0,0.001001001001001001,False,692,135,-0.00019242374833920717
validated,63,porcelain cups,1,1.0,0,0.001001001001001001,False,692,135,-0.00019242374833920717
validated,64,a young yak,1,1.0,0.0,0.00047499356682483425,True,691,135,8.92266086394422e-05
validated,65,yak-caravan,1,1.0,0.0,0.00044786081960259956,True,691,135,0.0001471083830618669
validated,66,"warm, high-altitude clothing of western manufacture",1,1.0,0.0,0.0005301160624298787,True,691,135,6.541476298788096e-05
validated,67,"cloth, chinese porcelain cups, and knives",1,1.0,0.0,0.00044786081960259956,True,691,135,0.0001471083830618669
validated,68,thousanns of mules,1,1.0,0,0.001001001001001001,False,692,135,-0.00019242374833929043
validated,69,punjab salt mines,1,1.0,0,0.001001001001001001,False,692,135,-0.00019242374833920717
validated,70,goods,2,3.0,0.0065974720915868024,0.0010193414099297867,True,691,135,0.00016840282273153373
validated,71,"tibetan salt, wool and butter",1,1.0,0,0.0007727960786883021,False,692,135,-0.00019141872927394554
validated,72,thousands and thousands of sheep,1,1.0,0.0,0.0005238278760903868,True,691,135,6.764088746936958e-05
validated,73,"bartering salt, wool, blankets and goats",1,1.0,0.0,0.00044658841777459323,True,691,135,0.00010777240092915696
validated,74,yaks and horses,1,1.0,0.0,0.00044786081960259956,True,691,135,0.0001471083830618669
validated,75,"mating of male yak and cows, or female yak and khirkoo bulls",1,1.0,0.0,0.00044359099749444875,True,691,135,0.00013029838776913716
validated,76,soil,2,2.0,0.004106536712384381,0.0008171147355012902,True,691,135,0.0001479290761211005
validated,77,punjab salt mines,1,1.0,0,0.001001001001001001,False,692,135,-0.00019242374833920717
validated,78,"salt, cloth, iron and the like",1,1.0,0.0,0.0005473075981637821,True,691,135,1.2744680086551607e-05
validated,79,clothes,1,1.0,0,0.0006967277712507355,False,692,135,-0.00019041371020886433
validated,80,"mating of male yak and cows, or female yak and khirkoo bulls",1,1.0,0.0,0.00044359099749444875,True,691,135,0.00013029838776913716
validated,81,"salt on the backs of yak, sheep and goats to tarakot",1,1.0,0.0,0.0004230388416606659,True,691,135,0.00014343049186435475
validated,82,charas,1,1.0,0.0,0.0004860134861676409,True,691,135,8.716863994610857e-05
validated,83,"wood, milk, vegetables",1,1.0,0,0.001001001001001001,False,692,135,-0.00019242374833929043
validated,84,milk,1,1.0,0.0,0.00043395674453841523,True,691,135,0.00011402266235170655
validated,85,wooden tubes or buckets,1,1.0,0,0.0006741858271319388,False,692,135,-0.00019024620703118889
validated,86,punjab salt mines,1,1.0,0,0.001001001001001001,False,692,135,-0.00019242374833920717
validated,87,"crops of barley, buckwheat, and rod oats",1,1.0,0,0.001001001001001001,False,692,135,-0.00019242374833920717
validated,88,mining and minerals,1,1.0,0.0,0.0004313989243563405,True,691,135,0.00015454726443754618
validated,89,tsakalho salt taxes,1,1.0,0.0,0.0004685710653299996,True,691,135,6.874640843961e-05
