Source,Relation,Target,Weight,Evidence,Confidence
kashmir,administers,maharaja physical,1,The territories of the Maharaja Physical of Kashmir and Jammu may be roughly described...,0.9
the pir panjsl,connects_to,the valley of kashmir,1,"The steps of the Himalayan range known as the Pir Panjsl lead to the second storey, on which rests the exquisite valley of Kashmir...",0.9
karakoram range,connects_to,the kuenlun mountains,1,...to the Karakoram range which merges in the Kuenlun mountains.,0.9
the karakoram pass,connects_to,the northern angle above ka s h ~ w ~ r,1,"...At the Karakoram pass (I 8,3 I 7 feet) the wall zigzags...",0.9
the hindu kush range,connects_to,the chinese dominions,1,"...along the Muztagh range past K 2 (Godwin Austen, 28,265 feet), Gasherbrum, and Masherbrum (28,100 and 25,660 feet respectively) to the Karakoram range ivhich merges in the Kuenlun mountains.",0.9
the ravi river,connects_to,the bari dozb canal,1,"...From hlgdhopur, the head-works of the Bari DoZb Canal, the Ravi river ceases to be the boundary...",0.8
the jhelum river,connects_to,the western boundary,1,"...From the south-west corner of the territories the Jhelum river forms an almost straight boundary on the west as far as its junction with the Kunhiir river, 14 miles north of Kohda.",0.8
the indus,connects_to,riimghat under the hattu pir,1,"...then north-west, sweeping in Punid, Ussin, Ghizar, and Koh, the Mehtarjaos or chiefs of which claim the Tangir and Dare1 country, and linking on to the Hindu Kush and MuztZgh ranges which look north to Chinese territory and south to Hunza-Nagar and Gilgit.",0.9
mahzrzjz g u l ~ b singh,governs,kashmir,1,"Speaking of the whole of his dominions, he might without exaggeration have described them as nothing but mountains.",0.8
kashmir,regulates,water,1,"The Kashmiris regard Kokarngg as the best source of drinking-water, while Chashma Shghi above the Dal Lake stands high in order of merit.",0.8
the kashmir state,governs,kashmiri subjects,1,conferred on the Kashmiri subjects of the MahBrgjg.,0.9
srinagar,connects_to,leh,1,From Srinagar to Leh is 243 miles.,0.95
baramiila,administers,kashmir,1,At Baramiila the road enters the valley of Kashmir...,0.9
rashmir territory,connects_to,indus with its tributaries,1,"The Rashmir territory may be divided physically into two areas : the north-eastern, conlprising the area. drained by the Indus with its tributaries ; and the south-western, including the country drained by the Jhelunl with its. tributary the Kishangangs, and by the Chengb.",0.8
jhelum,connects_to,chengb,1,"The country drained by the Jhelunl with its. tributary the Kishangangs, and by the Chengb.",0.8
kashmir valley,connects_to,panjhl range,1,"Beyond these lower hills rise the spurs of a more mountainous district. Ilrew, has been somewhat extended, and includes the range which forms the southern boundary of the Kashmir Valley, knon-11 as the PanjHl range, and its continuation eastwards beyond the ChenBb.",0.8
indus,connects_to,shyok,1,"Proceeding upstream, 80 miles farther east at the confluence of the Shyok and Indus...",0.9
kashmir-tibet boundary,connects_to,indus,1,"...in the Kokzhung district the river runs at the great height of 13,800 feet above sea-level.",0.9
kashmir,connects_to,indus,1,"From its main ridge lofty spurs extend into Kashmir, separating the various tributaries of the Indus...",0.9
persia,disputes,northern india,1,"These disturbances occasionally give very stormy weather in Kashmir, with violent winds on the higher elevations and much snow.",0.8
ram chand,governs,kashmir army,1,"With Rgm Chand were two soldiers of fortune, Rainchan Shah from Tibet and Shah Mirza from Swat.",0.8
gulab singh,controls,dogra country,1,"Rapidly absorbing the power and possessions of the feudal chiefs around him, after ten years of laborious and consistent effort, he and his two brothers became masters of nearly all the country between Kashmir and the Punjah, save Rsjaori.",0.85
gulab singh,regulates,order in dogra country,1,"The country was disturbed, each man plundered his neighbour, and Gulab Singh's energies were taxed to the utmost in restoring order.",0.8
gulab singh,governs,jammu state,1,"It is interesting to notice that the Dogras did not pillage the rich monastery of Himis, which saved itself by allowing the army in ignorance of its locality to pass the gorge leading to the Hitnis valley, and by then sending a deputation with an order of free rations while in Ladakh territory.",0.85
gulab singh,negotiates_with,sir henry lawrence,1,"In the winter of 1845 war broke out between the British Acquisition and the Sikhs. Gulab Singh contrived to hold himself aloof till the battle of Sobraon (1846), when he appeared as a useful mediator and the trusted adviser of Sir Henry Lawrence.",0.8
present inhabitants,depends_on,ancient buildings,1,"These ancient buildings, though more or less injured by iconoclasts, vandal builders, earthquakes, and, as Cunningham thinks, by gunpowder...",0.8
hindu temples,controls,karewa,1,"Msrtand, the temple of the Sun, stands on a sloping Karewa, about 3 miles east of Islamabad, over- looking the forest view in Kashmir.",0.8
kashmiris,depends_on,buffaloes,1,"They sacrifice every consideration for their buffaloes, and even in their cultivation, chiefly maize, their first thought is for these animals.",0.95
