Book,Source,RawRelation,Target,Action,Reason
Becoming_India,children,BELONGED TO,the husband(s),drop,legacy row without strict relation mapping
Becoming_India,satyadev bushahri,PRESIDENT,bushahr rajya praja mandal,drop,legacy row without strict relation mapping
Becoming_India,copyright,PAGE,p,drop,legacy row without strict relation mapping
Becoming_India,himachal pradesh government,PETITION,supreme court,drop,legacy row without strict relation mapping
Becoming_India,garhwal and kumaon,DEMAND,state separate from uttar pradesh,drop,legacy row without strict relation mapping
Becoming_India,himachal,TO,agitation,drop,legacy row without strict relation mapping
Becoming_India,media,ATTRIBUTE,open and strong support,drop,legacy row without strict relation mapping
Becoming_India,academia,ATTRIBUTE,open and strong support,drop,legacy row without strict relation mapping
Becoming_India,my first research interest,BE,social history of the himalayas,drop,legacy row without strict relation mapping
Becoming_India,shimla,BE,idyll,drop,legacy row without strict relation mapping
Becoming_India,delhi,OPPOSE,heat and dust,drop,legacy row without strict relation mapping
Becoming_India,mandal commission,RECOMMEND,reservations,drop,legacy row without strict relation mapping
Becoming_India,shudra castes,LACK,western himalayas,drop,legacy row without strict relation mapping
Becoming_India,brahmins,PRESERVE,uniform upper-caste status,drop,legacy row without strict relation mapping
Becoming_India,rajputs,PRESERVE,uniform upper-caste status,drop,legacy row without strict relation mapping
Becoming_India,vaishya castes,PRESERVE,uniform upper-caste status,drop,legacy row without strict relation mapping
Becoming_India,khash peasantry,STRUGGLE,begar,drop,legacy row without strict relation mapping
Becoming_India,himachal pradesh,REFERS,upper himachal,drop,legacy row without strict relation mapping
Becoming_India,western himalayas,HAVE,colonial history,drop,legacy row without strict relation mapping
Becoming_India,the one and only researched history,WRITTEN,in 1933,drop,legacy row without strict relation mapping
Becoming_India,regions to the west of simla hill states,COVERED,by this work,drop,legacy row without strict relation mapping
Becoming_India,a historian friend,WARNED,about trying to work on the history of the region,drop,legacy row without strict relation mapping
Becoming_India,the western himalayas,RESEARCHES INTO,his own researches,drop,legacy row without strict relation mapping
Becoming_India,i,CAME UP AGAINST,conceptual barriers too,drop,legacy row without strict relation mapping
Becoming_India,proper sources,LACK OF,to write a full scale account of the history of unfree labour in the western himalayas,drop,legacy row without strict relation mapping
Becoming_India,"ph. history of punjab hill states, 2 vols",WRITTEN BY,ramchandra guha,drop,legacy row without strict relation mapping
Becoming_India,the unquiet woods: ecological change and peasant resistance in the himalaya,WRITTEN BY,ramchandra guha,drop,legacy row without strict relation mapping
Becoming_India,"nineteenth century cis-sutlej hill states, h.p. university, simla, 1987",UNPUBLISHED PH.D.,mohan singh rathore,drop,legacy row without strict relation mapping
Becoming_India,i,AM NO APOLOGIST FOR,unfree labour,drop,legacy row without strict relation mapping
Becoming_India,the region's peasantry,OPPOSITION TO,such labour by,drop,legacy row without strict relation mapping
Becoming_India,reciprocal labour,LINKED AS CLOSELY TO,unfree labour in the western himalayas,drop,legacy row without strict relation mapping
Becoming_India,servile unfree labour,AS IT WAS TO,the commonly understood form of,drop,legacy row without strict relation mapping
Becoming_India,polyandrous himalayan family,LOCATED INSIDE THE MATRICES OF,unfree labour,drop,legacy row without strict relation mapping
Becoming_India,colonialism,OVERARCHING STRUCTURE OF,all subsumed under,drop,legacy row without strict relation mapping
Becoming_India,sociological and historical literature on india under colonialism,SEEMED TO PROVIDE DIMINISHING CONCEPTUAL CLARITY THE DEEPER I DELVED INTO,the social history of the western himalayas,drop,legacy row without strict relation mapping
Becoming_India,western himalayas,NEVER BEEN A POLITICAL PART OF ANY INDIAN ENTITY THROUGHOUT HISTORY,there was a clearly discernable sociological gap between the plains of north india and this region,drop,legacy row without strict relation mapping
Becoming_India,i,"REALISED THAT TO WRITE A CONTEXTUALISED HISTORY OF UNFREE LABOUR IN THE WESTERN HIMALAYAS, I WOULD NEED TO UNDERSTAND THE LOCAL DYNAMICS OF SOCIAL AND ECONOMIC TRANSFORMATIONS DURING THE COLONIAL PERIOD SEPARATE FROM THE GENERAL HISTORY OF INDIA UNDER COLONIALISM",this effort,drop,legacy row without strict relation mapping
Becoming_India,i,FINALLY DECIDED TO SHIFT THE FOCUS OF MY RESEARCH FROM UNFREE LABOUR UNDER COLONIAL CONDITIONS TO A MAPPING OF THE COLONIAL ENCOUNTER IN THE REGION BY FOREGROUNDING ITS EXCEPTIONALISM AND FOCUSING PRIMARILY ON TRANSFORMATIVE PROCESSES,this book,drop,legacy row without strict relation mapping
Becoming_India,doctoral thesis,STUDY,consequences of colonial rule,drop,legacy row without strict relation mapping
Becoming_India,book,BASED ON,doctoral research,drop,legacy row without strict relation mapping
Becoming_India,india,PRODUCT OF,colonialism,drop,legacy row without strict relation mapping
Becoming_India,western himalayas,SPECIFIC HISTORY OF,colonial encounter,drop,legacy row without strict relation mapping
Becoming_India,history of indian colonialism,GENERAL HISTORY,not studied independently,drop,legacy row without strict relation mapping
Becoming_India,western himalayas,NON-CATACLYSMIC,colonial encounter,drop,legacy row without strict relation mapping
Becoming_India,british rulers,INTENTIONS,not discussed,drop,legacy row without strict relation mapping
Becoming_India,himalayan people,RESPONSE TO,transformative processes of colonialism,drop,legacy row without strict relation mapping
Becoming_India,social geography of western himalayas,EMERGED AS,touristy idyll,drop,legacy row without strict relation mapping
Becoming_India,sutlej river,FOCUS OF NARRATIVE,book,drop,legacy row without strict relation mapping
Becoming_India,beas and tons river valleys,COMPLIMENTARY EVIDENCE FROM,book,drop,legacy row without strict relation mapping
Becoming_India,region's geography,IMPACTED,pre-british social formation,drop,legacy row without strict relation mapping
Becoming_India,british rule in the region,IMPACT ON,extant social formation,drop,legacy row without strict relation mapping
Becoming_India,panikkar,GAVE,space to pursue divergent ideas,drop,legacy row without strict relation mapping
Becoming_India,father (javeed alam),PROVIDED,initial inputs,drop,legacy row without strict relation mapping
Becoming_India,chetan singh,HELPED,find my feet in the world of himalayan history,drop,legacy row without strict relation mapping
Becoming_India,sumit sarkar,READ,many drafts,drop,legacy row without strict relation mapping
Becoming_India,hari sen,READ,many drafts,drop,legacy row without strict relation mapping
Becoming_India,kumaresh chakravarty,READ,many drafts,drop,legacy row without strict relation mapping
Becoming_India,emma flatt,READ,many drafts,drop,legacy row without strict relation mapping
Becoming_India,tanika sarkar,READ,many drafts,drop,legacy row without strict relation mapping
Becoming_India,ravinder kumar,READ,many drafts,drop,legacy row without strict relation mapping
Becoming_India,vasudha pande,SHARED,experiences of research on the western himalayas,drop,legacy row without strict relation mapping
Becoming_India,staff (jnu library),THANKFUL TO,library services,drop,legacy row without strict relation mapping
Becoming_India,staff (nehru memorial library),THANKFUL TO,library services,drop,legacy row without strict relation mapping
Becoming_India,staff (h.p. secretariat library),THANKFUL TO,library services,drop,legacy row without strict relation mapping
Becoming_India,staff (h.p. university library),THANKFUL TO,library services,drop,legacy row without strict relation mapping
Becoming_India,staff (national archives of india),THANKFUL TO,library services,drop,legacy row without strict relation mapping
Becoming_India,staff (british library’s oriental and india office collection),THANKFUL TO,library services,drop,legacy row without strict relation mapping
Becoming_India,staff (soas library),THANKFUL TO,library services,drop,legacy row without strict relation mapping
Becoming_India,"staff (south asia centre, cambridge)",THANKFUL TO,library services,drop,legacy row without strict relation mapping
Becoming_India,staff (asiatic society of bengal),THANKFUL TO,library services,drop,legacy row without strict relation mapping
