Source,Relation,Target,Weight,Evidence,Confidence
sherpas,trades_with,tibet,6,"Had the Chinese strangle-hold on the Sherpas' trade occurred even twenty years earlier the effect on their standard of living would have been catastrophic. | As long as there was unrestricted trade with Tibet, Sherpas could buy as much wool as they liked... | There are no salt deposits in Nepal, and salt has always been one of the main imports from Tibet.",0.833
khumbu sherpas,trades_with,tibet,2,"They qualified as residents of Khumbu and this meant that they could trade freely with Tibet. | Such garters are made of cotton thread bought in different colours in the bazaars of the Terai and the Nepal valley. They used to be sold in Tibet for R3 to 4 per pair, and as they are light and not bulky, they were suitable trade goods for those Sherpas who carried their wares on their own backs across the Nangpa La",0.8
khumjung,trades_with,tibet,2,"Most households of such villages as Khumjung, Khunde or Thami arranged for at least one trading expedition to Tibet... | The people of these villages [Phortse and Pangboche] concentrated mainly on cattle-breeding and with the cash obtained from the sale of calves they obtained Tibetan salt and wool from small traders of Khumjung and Khunde.",0.85
sherpas,trades_with,rais,2,"The earnings of Sherpas from the tourist trade, which will be discussed presently, have given much of the Sherpa economy a money base and this in turn finds expression in the operation of a weekly market in Namche Bazar. | many Sherpas have ceremonial friends among the Rais who are their traditional partners in the exchange of salt for grain.",0.85
dolpo people,trades_with,tibet,2,Highlanders of the Dhaulagiri Zone...transport their goods mainly on the backs of yak to Tibet or to the lower regions of Thak Khola and Tichurong. | Apart from the exchange of salt obtained from Tibet by the Dolpo people for grain brought by men of Tarakot from the middle-ranges - a trade comparable to that between Dolpo and Thak Khola - there is an intimate symbiosis between the two populations.,0.8
thakali traders,trades_with,tibetan wool,2,"Trade in wool Tibet was for a long time one of the main sources of the wool processed in India and one of the routes along which supplies of Tibetan wool filtered through the Himalayan barrier... | In 1960s an average of R6oo,ooo worth of wool was being annually sold to India by Thakali traders.",0.8
thakalis,trades_with,pokhara,2,"The inhabitants of the largely agricultural villages were less dependent on trade than the merchants of Tukche and they survived the dwindling of the salt-trade without having to adjust their entire economy. They too, however, took advantage of the growth of Pokhara as a marketing centre, | It is significant that the Thakali merchants soon outstripped their Newar competitors, and are on the way to dominating the mercantile life of Pokhara.",0.775
the government of his majesty the king of nepal,licenses,outsiders,1,permission to work in many areas normally closed to outsiders but also for numerous facilities provided by officials and government servants of every rank.,0.8
dor bahadur bista,migrates_through,khumbu and the arun valley,1,who in 1957 participated in our work among the Sherpas of Khumbu and the Bhotias of the Arun valley...,0.8
harka gurung,supplies,expertise in matters of human geography,1,"I wish to express my appreciation of the spontaneous hospitality and many kindnesses of Harka Gurung, and profited from his expertise in matters of human geography.",0.8
school of oriental and african studies,administers,christoph von furer-haimendorf,1,To all these institutions I am greatly indebted.,0.9
social science research council,licenses,christoph von furer-haimendorf,1,I benefited also from generous grants of the Social Science Research Council...,0.8
national science foundation,licenses,christoph von furer-haimendorf,1,I benefited also from generous grants of the National Science Foundation...,0.8
wenner-gren foundation for anthropological research,licenses,christoph von furer-haimendorf,1,I benefited also from generous grants of the Wenner-Gren Foundation for Anthropological Research...,0.8
london-comell project for the study of far eastern and south-east asian societies,licenses,christoph von furer-haimendorf,1,I benefited also from generous grants of the London-Comell Project for the Study of Far Eastern and South-east Asian Societies...,0.8
central research fund of the university of london,licenses,christoph von furer-haimendorf,1,I benefited also from generous grants of the Central Research Fund of the University of London...,0.8
nepal's northern border,depends_on,trans-himalayan trade,1,"An analysis of this trade, which for centuries had linked Tibet, Nepal and India, promised to be of all the greater interest as it provided an insight into trading methods that in other parts of the world belong to the distant past.",0.9
tibetan salt,trades_with,grain,1,those who carried supplies of Tibetan salt along tortuous caravan routes across the Himalayan main range were sure of being able to barter this essential commodity for many times its volume in grain.,0.85
main villages,administers,fields and meadows,1,"Different from all these settlements which consist of solidly built houses, surrounded by fields or at least some walled-in meadows,",0.8
winter settlements,depends_on,lower altitudes,1,"The settlements situated in the lower and in the sheltered parts of valleys are known as gunsa (gun - winter) whereas subsidiary settlements in higher altitudes are known as yersa (yer - summer; Tibetan: dbyar-sa) or phu, Sherpa words which correspond to the Nepali term goth.",0.9
summer settlements,depends_on,high pasture lands above the tree-line,1,"The settlements in the high pasture lands above the tree-line are populated mainly, though not exclusively, during the summer months.",0.9
district panchayat,controls,forest-resources,1,that in the course of a reorganization of the district administration the control of forest-resources has been transferred to the authority of the district panchayat.,0.9
sherpas,supplies,potatoes,1,"Potatoes planted at such altitudes ripen earlier than those on the fields of the main villages, and this enables the Sherpas to spread the agricultural work over a longer period, and have new supplies of their basic food several weeks before the main harvest.",0.9
gh«sa-settlement,regulates,livestock,1,"The £w«sa-settlement of Teshinga situated on a broad ledge above the Dudh Kosi gorge, rivals in size some of the smaller main villages.",0.7
people,negotiates_with,land,1,"Most of the families owning houses and land in Teshinga spend several weeks there in the autumn, again some weeks during the coldest part of the winter, and a short time in the spring when the fields have to be prepared for the sowing of potatoes.",0.6
women,exchanges_for,fodder,1,The hay made in the meadows is stored as fodder for the cattle to be used in the early spring.,0.5
yak-breeding,depends_on,ownership of houses and meadows,1,"Without such property no one can maintain even a moderately sized herd of yak,",0.9
sherpas,depends_on,window glass,1,"Laden porters take some fifteen days for the trip from Kathmandu to Khumbu, and window glass, which has to be carried carefully, is hence still a relatively expensive commodity.",0.8
sherpas,supplies,food and drink,1,"One or more low tables stand in front of this bench, and all food and drink served to men of the house and male guests is placed on these tables.",0.8
sherpas,regulates,hearth,1,"The hearth consists of a square of hardened clay let into the wooden floor-boards and an elevated clay-structure built against the front wall, where cooking pots can be kept warm.",0.8
sherpas,negotiates_with,mountaineering expeditions,1,"Sherpas working for mountaineering expeditions have occasionally the chance to bring window-panes by air as far as Lukla, an airstrip less than two days’ walk from Khumjung, and this facility, enjoyed free in some cases, has contributed to the spread of glass windows in the home villages of prominent climbers.",0.8
house,supplies,water,1,"Except for two or three large cauldrons required for storing water and normally situated opposite the hearth, these vessels are seldom in use...",0.8
sherpas,disputes,tibet,1,the dwindling of the trade with Tibet has deprived Sherpas of the possibility of making at a stroke large profits which could be used for the purchase of houses.,0.8
monks and nuns,controls,small houses in which they live,1,"Most monks and nuns own the small houses in which they live, and it is usual for a man whose son enters a monastery to build him a small house or to buy an existing dwelling empty after the owner’s death or departure from the monastery.",0.9
sherpas,migrates_through,settlements,1,The migrations of the Sherpas do not range over wide areas and are confined to narrowly prescribed movements between a few settlements...,0.9
labourers,trades_with,manure,1,special labourers are hired at high wages to empty the latrines and carry the leaves mixed with human excrement.,0.9
labourers,supplies,wage of r2j per day plus food,1,"In 1957 grass-cutters would receive a wage of R2j per day plus food, which was two and a halftimes the rate then paid for agricultural labour during the time of sowing and planting.",0.8
men,transports_via,baskets to the owner’s house,1,These men carry the full baskets to the owner’s house.,0.85
sherpas,controls,fields next to their houses,1,This is also the time when the Sherpas dig pits in the fields next to their houses and store in them the potatoes not required for immediate use.,0.8
sherpa family,supplies,substantial areas of land,1,The system of dispersed holdings has the advantage of enabling a Sherpa family to cultivate substantial areas by spreading out each operation over a comparably long time.,0.8
sherpas,regulates,agricultural operations,1,"The result is a highly economic employment of the manpower available for agricultural work, and a level of food production which assures every inhabitant of Khumbu a more than adequate supply of basic foodstuffs throughout the year.",0.8
khamba householders,depends_on,landholdings in khumjung and/or gunsa-settlements,1,"Of the 14 Khamba householders, 5 did not possess land in Khumjung, and 46 householders owned land in Khumjung but in no other locality.",0.8
householders of khunde,supplies,landholdings in khumjung,1,"Men resident in Khunde, unable to buy fields in their own village, used any available capital to acquire land in the adjoining part of Khumjung.",0.7
tibetans,depends_on,daily wages,1,"Many of those who arrived before or immediately after the Chinese occupation of Tibet, have acquired some land or are engaged in activities more profitable than agricultural labour.",0.8
sherpas,supplies,casual labourers,1,"As this pool of labour is not being replenished by new arrivals, Sherpas have to do without large numbers of casual labourers...",0.9
khumjung people,trades_with,contractors,1,...and the normal rate of Rio paid by tourists for porters.,0.7
agricultural labour,exchanges_for,meals,1,"The rate for agricultural labour in 1957 was R4-1 for women, and R2 for men drawing a plough, plus all meals.",0.9
sherpas,regulates,labour market,1,"By 1972 agricultural wages had caught up with those paid by contractors (see p. 91), but as in that year I did not visit Khumbu I had no opportunity to observe the effect of this development on the labour market.",0.8
sherpas,controls,"mating of male yak and cows, or female yak and khirkoo bulls",1,"As the male cross-breeds are infertile, the breeders must maintain a stock of pure yak as well as of ordinary cattle, and arrange for the controlled mating of male yak and cows, or female yak and khirkoo bulls.",0.8
sherpas,regulates,birth of calves in april and may,1,"Control of mating also insures, as far as possible, the birth of calves in April and May, when their chances of survival and healthy growth are best.",0.8
sherpa,depends_on,animal husbandry,1,"Indeed it is likely that long before there was a trade in cross-breeds, Sherpas depended on animal husbandry for a substantial part of their subsistence.",0.9
sherpa,supplies,butter,1,The main effort of all cattle-owners is directed towards the production of butter.,0.8
sherpa,supplies,sher-kam,1,The remaining butter-milk is either drunk or boiled until it becomes solid and forms a kind of dry cheese known as sherkam.,0.6
