Source,Relation,Target,Weight,Evidence,Confidence
tarangpurians,exchanges_for,rice,3,"Deft practitioners of impression management, they form a cultural buffer between two opposing (Hindu and Buddhist) poles; salt and rice pass between these cultural frontiers, but ideas stop in the middle, where they are absorbed in a variety of ways. | But in the entrep6ts of the Terai and of India, exchanges are clearly part and parcel of the competitive market matrix. | Some surplus grain is exchanged for salt, which is then transported in small saddlebags carried by sheep and goats farther south to be exchanged for rice, which Tarangpurians serve on festive occasions.",0.767
tarangpurians,exchanges_for,salt,2,"Deft practitioners of impression management, they form a cultural buffer between two opposing (Hindu and Buddhist) poles; salt and rice pass between these cultural frontiers, but ideas stop in the middle, where they are absorbed in a variety of ways. | The Tarangpurians use a portion of this salt to satisfy their own subsistence needs (as described in chap.)",0.7
tarangpurians,trades_with,goods,2,"Examples of this kind of material are found in the discussion of culture and impression management in chapter 4. | Since they speak both Tibetan and Nepali, Tarangpurians are able to transport and market goods, including grain, from the south to the north and vice versa.",0.85
tarangpur,connects_to,tichurong,2,"The same is true of all the thirteen villages of Tichurong (the exceptions are primarily the low-caste, Nepali-speaking artisans, and secondarily, the occasional Tibetan refugee family); there is very little leakage into or out of this social network. | Villagers say they import most bulls from villages outside Tichurong.",0.875
bhotias,trades_with,tarangpurians,2,"The fact that the Tarangpurians in exodus during the winter are outnumbered by the incoming Bhotias is balanced by the fact that Tarangpurians who leave are all adult, while the Bhotias who replace them include many children... | These relationships are of two kinds: the mit (Nepali, pronounced 'meat'; Kaike, gyampa; Tibetan, robo) relationship, which is a formal, lifelong, blood-brother bond...",0.85
tarangpur,connects_to,hindu society,1,"Unlike tribals elsewhere in South Asia, the Magars of Tarangpur live not only on the fringes of Hindu society but also on the fringes of Buddhist society.",0.8
tarangpur,connects_to,buddhist society,1,"Unlike tribals elsewhere in South Asia, the Magars of Tarangpur live not only on the fringes of Hindu society but also on the fringes of Buddhist society.",0.8
tarangpur,trades_with,tibetan north,1,"Marginal to both these traditions, and trilingual, the Magars have over the centuries become a cultural, linguistic, and economic hinge between the Tibetan north and the Nepali south.",0.7
tarangpur,trades_with,nepali south,1,"Marginal to both these traditions, and trilingual, the Magars have over the centuries become a cultural, linguistic, and economic hinge between the Tibetan north and the Nepali south.",0.7
dolpo district,controls,salt circuit,1,Transactions: The Salt Circuit,0.8
his majesty's government of nepal,licenses,expedition,1,the permission of His Majesty's Government of Nepal and the friendly and helpful assistance of its officers.,0.8
tarangpur,connects_to,south and central asian worlds,1,"Straddling the larger South and Central Asian Worlds, Tarangpur exemplifies the interstices of the multiethnic society of Nepal...",0.85
tarangpur,migrates_through,himalayas,1,"...a two-week walk from the nearest motorized transportation, Tarangpurians are acutely aware of the world beyond their valley and have evolved various strategies for dealing with their remoteness.",0.8
tarangpurians,depends_on,world beyond their valley,1,...have evolved various strategies for dealing with their remoteness.,0.75
tarangpur village,connects_to,dhaulagiri zone,1,"The field research was conducted in Tarangpur village, Dolpo District, Dhaulagiri Zone,' between October 1968 and November 1969.",0.95
jumla,connects_to,tarangpur,1,"There were small airstrips at Jumla, a week's walk to the west, and at Dhorpatan, a week's walk to the south...",0.95
dhorpatan,connects_to,tarangpur,1,"There were small airstrips at Jumla, a week's walk to the west, and at Dhorpatan, a week's walk to the south...",0.95
royal nepal airlines corporation dc-3,transports_via,pokhara,1,We took the regularly scheduled Royal Nepal Airlines Corporation DC-3 to Pokhara.,0.95
changchu,supplies,eight tibetan ponies and their owners,1,"Fortunately, Changchu was able to rustle up eight Tibetan ponies and their owners to take us, for an exorbitant sum, the rest of the way.",0.9
we,trades_with,tibetans,1,"We also paid off the Tibetans, and I belatedly regretted my earlier agreement to pay them at half-rate for their empty-handed return to Pokhara.",0.8
government,regulates,national and local levels of government,1,"This was an external presence I had not anticipated, would never have requested, and did not relish, but it did provide unexpected opportunities to observe the interaction of national and local levels of government.",0.9
panchayat,governs,village,1,"I also wanted to take a complete census of the village, with such details as age, clan membership, place of birth, and preliminary genealogical connections.",0.9
outsiders,regulates,information,1,"People in some cultures are very anxious for outsiders to know about them; indeed, 1 marvel at the good fortune of a colleague who worked in Sri Lanka and found that he sometimes had to ask his informants to stop giving him so much detailed information that he couldn't record it all.",0.8
