Source,Relation,Target,Weight
three main sources,SUPPLY,salt to the tibetan world,1
lakes of the changthang,EXTRACT,salt,1
changthang,CONTAIN,countless salt lakes,1
nomads or drokpas,EXTRACT,salt from the lakes,1
drokpas,SET_OUT,to the lakes in search of salt,1
father,MAKE_OFFERINGS,"to burn, distributing meat",1
mother,TAKE_CARE_OF,"everyone, cooking and making tea",1
son,LEARN_FROM,elders how to extract the salt,1
zopon or keeper of the animals,FIND_PASTURE,and water for them,1
guru rinpoche,DUG_AND_BLESSED,the 12 salt lakes in the north,1
nomads,BELIEVE,that there were 12 salt lakes,1
people,CARRY OUT,a trade,1
drokpas,TAKE,up to 20 days,1
ulrike koch,THANK,"john vincent bellezza, gerald roche, and hiroyuki suzuki",1
salt trips,OCCUR,in tibet and the himalayas,1
yaks,DRIVE,to transport salt on the return trip,1
nomads,BREAK,the salt into small pieces with yak or sheep horns,1
nomads,COLLECT,salt in the lake,1
caravan,START UP AGAIN,after a few months of rest and with the arrival of summer,1
summer trade fairs,HOLD,on the himalayan border,1
salt,EXCHANGE FOR,products that did not exist in the tibetan highlands,1
many routes,LEAVE,the solitary nomadic camps of the changthang towards the high mountain passes of the south,1
caravan,CROSS,the high mountain passes of the south,1
merchandise,REACH AS FAR AWAY AS,"baltistan, ladakh, zanskar, spiti, kinnaur, garwhal, kumaon, the middle hills of nepal, sikkim, bhutan and monyul",1
ganden phodrang government,STATION OFFICIALS,at crucial points along the southern routes to collect taxes from these traders,1
traders,EXCHANGE,their merchandise with people who arrived from the other side of the pass bringing the desired products from the south,1
these bhotias,ACTED AS INTERMEDIARIES,with the peoples further south,1
the drokpas and bhotias,HAD AN INSTITUTION KNOWN AS,'commercial friendship' or 'fictive kin',1
each family,HAD PARTNERS,another specific family,1
the nomads of the rupshu,HAD AN AGREEMENT WITH,the tibetan government,1
"the tsasho, or salt tax collecting officials",WAITED PATIENTLY AT,the ferry crossings,1
the nepalese state,ALSO COLLECTED A TAX THROUGH,the subbas,1
the gorkhas,DECLARED WAR ON TIBET IN THE LATE 18TH CENTURY BECAUSE OF,the poor quality of the imported salt,1
people from all corners of the southern fringe of the tibetan betosphere,"APPEARED AT THESE TRADE FAIRS, EXCHANGING","merchandise, ideas, news, dialects, religious forms, and ways of life",1
people from distant kinnaur,CARRIED,salt,1
bhotias of garwhal and kumaon,CARRIED,salt,1
"limiwas, humlis and mugulis",CARRIED,salt,1
lobas of mustang,LOADED,salt,1
"nubripas, langtangpas and sherpas",COLLECTED,salt,1
sikimese and western bhutanese,BOUGHT,salt,1
central bhutanese,CAME,seven-day fair,1
bumthaps,RETURNED,"some indian goods, salt, tea, silk, musk, gold dust, dried lamb legs and sheepskins",1
northeastern bhutanese merchants,CARRIED,rice,1
monpas from the monyul corridor,CAME,tsona dzong,1
lhasa aristocracy,PRIZED,rice,1
tibetan government official,RAN,drekhang or 'rice house',1
porters,PROVIDED,transportation to officials and political and religious elites (and their goods),1
drokpas,CROSSED,border,1
bhutanese,BRING,rice,1
ladakhis,TRANSPORT,salt,1
jigme namgyal,MEET,pema choki,1
chumey naktsang,TRADE,salt,1
tibetans,EXCHANGE,products,1
tsampa13,BE,trading station,1
trashi-yangtse,EXCHANGE,goods,1
trashigang,EXCHANGE,goods,1
chorten kora,BE,pilgrimage festival,1
gomphu kora,BE,pilgrimage festival,1
amdo,HAVE,sources of salt,1
tsaidam,CONTAIN,salt lakes,1
tso ngonpo,BE,blue lake,1
wu yi tshwa mtsho dkar mo,BE,soul lake of one thousand goddesses,1
amdowas,SUPPLY,salt,1
kham,RECEIVE,salt,1
dabusun nor,CARRY,salt,1
tongkhor,BE,trade center,1
ulan area,HAVE,lake tsaka,1
thrika,CONSUME,salt,1
kumbum,CONSUME,salt,1
the herders or farmers,EARNINGS SUPPLEMENTED,economy,1
a salt man,CONFERRED,reputation of being a 'real man',1
a lama,CHOSE AN AUSPICIOUS DAY TO DEPART,the gods,1
bang a ma,GAVE,salt spring,1
amdowa tribes,HAD THEIR SALT STATION OR TSHWA SGO ON THE SHORES OF,lake wu yi tshwa mtsho (lake tsaka),1
them,FEED PROPERLY,give them necessary rest,1
the expedition,"PROTECT FROM WOLVES, RECOVER WHEN THEY ESCAPED AT NIGHT OR LOAD CORRECTLY",ensure the success of,1
local men,PICKED IT UP AND SOLD IT IN THE LAKE TO TRADERS,salt extraction experience,1
members of the harvesting team,GATHER TO CELEBRATE THE TSAW BVI NANG SKYID25 FEAST,the journey of the caravans,1
caravans,"TRANSPORTED SALT ALONG WITH OTHER LIVESTOCK PRODUCTS LOADED ON YAKS, SHEEP OR CAMELS",to the agricultural areas,1
nomads of the lake area themselves,TRANSPORTED SALT,to the commercial centers of the amdo valleys,1
traders from the agricultural areas,CAME TO THE LAKES,to trade for grain,1
traders,USE,rifles and swords,1
traders,WEAR,leather shoes and sheepskin robes,1
goloks,EXTRACT,salt from tsam tso lake,1
goloks,TRADE,"wood, sap and pine resin with traders from northwestern sichuan",1
goloks,COLLECT,salt from the twin lakes kyaring tso and ngoring tso,1
goloks,EXERCISE,"'a lucrative trade, for they make sure of a monopoly in it through the terror with which they inspire their neighbours'",1
caravans,PASS BY,sacred mountain,1
goloks,TAKE,salt annually to the tsangpo valley and exchange it for grain near nang dzong in kongpo,1
amdo tibetans,EXPORT,"mineral wealth, including salt, to china",1
chinese and muslims of amdo,ACT AS INTERMEDIARIES BETWEEN,amdowa tibetans and the chinese world of gansu and northern sichuan,1
merchants,KEEP,record,1
inns,SERVE,merchants and transactions,1
tongkhor,MAIN POINT,salt trade,1
thrika,MAIN POINT,salt trade,1
thongkor/tangar,MOST IMPORTANT,salt trade,1
qing dynasty,RECOGNIZE,official frontier market,1
mid-18th century,BECOME,main center of salt trade,1
sino-tibetan border,STRATEGIC CROSSROADS,trade routes,1
