Source,Target,TotalWeight,Relations
satyadev bushahri,bushahr rajya praja mandal,3.0,organisation leader|president
parmar,polyandry in the himalayas,3.0,author|write|wrote
all india states’ peoples’ conference,simla hill states sub-regional council,3.0,appoint dewan of bushahr|grant legitimacy to|recognized
kharnak,rupshu,3.0,get salt for free|pay fine to|receive share of salt
children,the husband(s),2.0,belonged to
india,colonialism,2.0,have_copied_with|product of
western himalayas,colonial encounter,2.0,non-cataclysmic|specific history of
western himalayas,historical processes of the indian sub-continent,2.0,be part of|be_part_of
british,western himalayas,2.0,conquest|subdue
women,weeding,2.0,do|take part in
majumdar,himalayan polyandry,2.0,author|write
money,western himalayas,2.0,came into|intruded
the raja,of the superintendent hill states,2.0,countenance|presence
rana,dhami state praja mandal,2.0,refuse to give recognition|want ringleaders of agitation arrested
dagi–koli males,0.93,2.0,literacy level|rise in literacy level
people,demands,2.0,agitated|gave
sirmaur praja mandal,nahan town seat,2.0,lost election|took part in bye-election
"thompson, e.p",customs in common,2.0,'the moral economy of the english crowd in the 18th century'|'the sale of wives'
buddhism,india,2.0,eradication|spread_from
government of jammu and kashmir,polyandry and inheritance by primogeniture,2.0,made illegal|make illegal
ladakh,oral literature,2.0,derive|glory_of_popular_culture
ladakh,tibet,2.0,chose to seek and accept guidance|suzerainty
he,temple,2.0,build|dedicate
tashi namgyal,portrait,2.0,paint|portrayed as
baltis,ladakh,2.0,overran|withdrew
sengge namgyal,1642,2.0,birth|death
kashmir,ladakh,2.0,attempt_to_establish_suzerainty_over|remains_constitutionally_yoked
ladakh,neighbouring countries,2.0,polity|reach out to
ladakh,pashm,2.0,economy|value_place_of
tibet baqals,pashm,2.0,buy|control_trade_of
ladakh player,ball,2.0,catch|throw
man,ball,2.0,hit|toss
ladakh,change,2.0,control|have
rupshu,salt,2.0,collect|remove
thrika,salt,2.0,consume|main point
water,terraces,2.0,is deposited|is transported
copyright,p,1.0,page
himachal pradesh government,supreme court,1.0,petition
garhwal and kumaon,state separate from uttar pradesh,1.0,demand
himachal,agitation,1.0,to
media,open and strong support,1.0,attribute
academia,open and strong support,1.0,attribute
my first research interest,social history of the himalayas,1.0,be
shimla,idyll,1.0,be
delhi,heat and dust,1.0,oppose
mandal commission,reservations,1.0,recommend
shudra castes,western himalayas,1.0,lack
brahmins,uniform upper-caste status,1.0,preserve
rajputs,uniform upper-caste status,1.0,preserve
vaishya castes,uniform upper-caste status,1.0,preserve
khash peasantry,begar,1.0,struggle
himachal pradesh,'upper himachal',1.0,refers
western himalayas,colonial history,1.0,have
the one and only researched history,in 1933,1.0,written
regions to the west of simla hill states,by this work,1.0,covered
a historian friend,about trying to work on the history of the region,1.0,warned
the western himalayas,his own researches,1.0,researches into
i,conceptual barriers too,1.0,came up against
proper sources,to write a full scale account of the history of unfree labour in the western himalayas,1.0,lack of
"ph. history of punjab hill states, 2 vols",ramchandra guha,1.0,written by
the unquiet woods: ecological change and peasant resistance in the himalaya,ramchandra guha,1.0,written by
