Source,Relation,Target,Weight
rupshu,TRADE,tibet,1
tibetan changpas,BRING,salt,1
rupshupa,MAKE_JOURNEY,mindum and kyeltse salt lakes in western tibet,1
rupshupa,TRADE,barley grain (nas) in zanskar,1
zanskaris,COVET,salt,1
changthang,SPAN,ladakh to the chinese province of qinghai,1
rupshupa,TRADE,"tea, sugar, spices, rice, and other food products at dozum fair",1
farmers from lower ladakh (or sham),BRING,"apricots, grain, walnuts, and white radish to trade for salt",1
rupshupa,COLLECT,salt from tso kar,1
azem,TOOK,salt from tso kar lake,1
geological survey of india,PUT,medicine in the lake,1
tourists,PUT,'medicine' in the lake,1
lama yulsa gespo,CREATE,tso kar lake,1
rupshupa,LEAVE,salt for sbas lung mi in a hole near the red mountain,1
abi yangzom,RECOLLECTED,that she had heard it said,1
rupshu,BELIEVE,that if they do not eat enough salt they will grow 'wool' on their face and body,1
champas,REMOVE,the salt from this place,1
tso kar salt lakes,CONTINUE TO DETERIORATE,— the yield for the year having only been 415 maunds,1
nomads,TRADE WITH,the salt from tso kar,1
tonyot shah,STATED,that they never ate the salt from tso kar because it used to make one's stomach swell up,1
rupshupa,TRADED IN,the salt from here,1
poorer people,WENT INSTEAD TO,tso kar,1
owners of large and small herds,FOLLOWED THE CUSTOM,of removal of salt from tso kar,1
rupshu,REMOVE,salt from tso kar,1
tso kar,SAFEGUARD,lake and its precincts,1
chu dpon,DECIDE,quarter of the lake,1
kotwal,EXPLAIN,division of the lake into four parts,1
men,REMOVE,salt from tso kar,1
yak or sheep horn,MARK,pile of salt,1
sheep and goats,CARRY,saddle-bags,1
rupshu,MAINTAIN,tso kar belongs to them,1
kharnak,CLAIM,ownership of tso kar,1
rupshu,POINT OUT,traditional camping grounds and monastery near tso kar,1
kharnak,ENCROACH,rupshu's land from the west,1
assistant commissioner of nyoma,SUPERVISE,agreement between kharnak and rupshu,1
tsering samphel,SENT,rupshu,1
kharnak people,HAVE SUPPORT OF,hemis,1
kharnak,PAY FINE TO,rupshu,1
rupshu,GIVE SALT TO,kharnak,1
tso kar,BELONGS TO,rupshu,1
ladakh buddhist association,REACHED SETTLEMENT BETWEEN,kharnak and rupshu,1
kharnak,GET SALT FOR FREE,rupshu,1
tso kar,YIELDS,best grazing lands,1
rupshu,TRYING TO PROTECT,tso kar and its precincts,1
guards,POSTED AT,tso kar and its precincts,1
kharnak,RECEIVE SHARE OF SALT,rupshu,1
remainder salt,DISTRIBUTED OR CONSUMED BY,each tent in rupshu,1
monasteries at korzok and thugje,DONATE PORTION OF SALT TO,tsering samphel,1
more enterprising men,CARRY,their salt onward to leh,1
men,TRADE,there and in villages along the route,1
salt,BARTER,for barley,1
rupshupa,SAY,that their salt is now practically given away for free,1
goldstein and beall,REPORT,that the changpas trek for salt has now become an option,1
changpas,TREK,for salt,1
chinese government,MAKE,dirt roads leading to many of the main salt flats in western tibet,1
chinese government,HAUL,salt from the lakes in trucks,1
rupshupa,STATE,"that the reason why this salt trade continues, though in a marginal form, is that many himalayan and tibetan villagers still prefer the taste of the local salt",1
sonam angchuk,CONFIRM,"except for us changpas, whether tibetan or ladakhi, we still like the salt from here and we still use it",1
baba siddique,ENSURE,that he always has a supply of salt for his butter-tea,1
baba siddique,MAINTAIN,"without this salt ladakhi tea just does not have the same taste, and so it cannot be replaced by the government salt",1
