subject,relation,object,sentence,doc_id
he,slay,dong,Santiago Lazcano Nam-ri-Srong-tsan […] arrived at the northern desert plain where he slew a fierce Dong (wild...,block_3
he,slay,horns,Santiago Lazcano Nam-ri-Srong-tsan […] arrived at the northern desert plain where he slew a fierce Dong (wild yak) with terrible horns called Thal-Kar-ro-ring.,block_4
he,slay,horns,Santiago Lazcano Nam-ri-Srong-tsan […] arrived at the northern desert plain where he slew a fierce Dong (wild yak) with terrible horns called Thal-Kar-ro-ring.,block_5
he,slay,horns,Santiago Lazcano Nam-ri-Srong-tsan […] arrived at the northern desert plain where he slew a fierce Dong (wild yak) with terrible horns called Thal-Kar-ro-ring.,block_6
he,slay,horns,Santiago Lazcano Nam-ri-Srong-tsan […] arrived at the northern desert plain where he slew a fierce Dong (wild yak) with terrible horns called Thal-Kar-ro-ring.,block_7
he,slay,horns,Santiago Lazcano Nam-ri-Srong-tsan […] arrived at the northern desert plain where he slew a fierce Dong (wild yak) with terrible horns called Thal-Kar-ro-ring.,block_8
which,make,millions,"...term ""salary"" (derived from the Latin salarium), which makes it possi- ble for millions of people to satisfy their vital needs.",block_10
tibetans,attach,salt,"The importance that Tibetans attach to salt is manifested in the attribution of its discovery to the Yar-lung dynasty emperor Namri Songtsen,...",block_10
which,make,millions,"...""salary"" (derived from the Latin salarium), which makes it possi- ble for millions of people to satisfy their vital needs.",block_11
tibetans,attach,salt,"The importance that Tibetans attach to salt is manifested in the attribution of its discovery to the Yar-lung dynasty emperor Namri Songtsen, father...",block_11
tibetans,attach,salt,"The importance that Tibetans attach to salt is manifested in the attribution of its discovery to the Yar-lung dynasty emperor Namri Songtsen, father of the great Songtsen Gampo.",block_12
tibetans,attach,salt,"The importance that Tibetans attach to salt is manifested in the attribution of its discovery to the Yar-lung dynasty emperor Namri Songtsen, father of the great Songtsen Gampo.",block_13
tibetans,attach,salt,"The importance that Tibetans attach to salt is manifested in the attribution of its discovery to the Yar-lung dynasty emperor Namri Songtsen, father of the great Songtsen Gampo.",block_14
tibetans,attach,salt,"The importance that Tibetans attach to salt is manifested in the attribution of its discovery to the Yar-lung dynasty emperor Namri Songtsen, father of the great Songtsen Gampo.",block_15
salt,benefit,ple,"...the 5th Dalai Lama, and the veneration of that salt by the faithful, since it was considered that the salt that had been in contact with his body could benefit peo- ple because it had the characteristic of identifying with him: the salt was the body of the Great Fifth.",block_16
it,have,characteristic,"...the 5th Dalai Lama, and the veneration of that salt by the faithful, since it was considered that the salt that had been in contact with his body could benefit peo- ple because it had the characteristic of identifying with him: the salt was the body of the Great Fifth.",block_16
śiva,reveal,shepherd,"In the Hindu tradition salt also appears in some of its founding legends: a Sanskrit myth tells that Śiva first revealed his identity to a Gaddi shepherd he employed to transport salt, after he himself man- ifested as a shepherd near Lake Gaurikund.",block_16
he,ifeste,shepherd,"In the Hindu tradition salt also appears in some of its founding legends: a Sanskrit myth tells that Śiva first revealed his identity to a Gaddi shepherd he employed to transport salt, after he himself man- ifested as a shepherd near Lake Gaurikund.",block_16
śiva,reveal,shepherd,"In the Hindu tradition salt also appears in some of its founding legends: a Sanskrit myth tells that Śiva first revealed his identity to a Gaddi shepherd he employed to transport salt, after he himself man- ifested as a shepherd near Lake Gaurikund.",block_17
he,ifeste,shepherd,"In the Hindu tradition salt also appears in some of its founding legends: a Sanskrit myth tells that Śiva first revealed his identity to a Gaddi shepherd he employed to transport salt, after he himself man- ifested as a shepherd near Lake Gaurikund.",block_17
śiva,reveal,shepherd,"In the Hindu tradition salt also appears in some of its founding legends: a Sanskrit myth tells that Śiva first revealed his identity to a Gaddi shepherd he employed to transport salt, after he himself man- ifested as a shepherd near Lake Gaurikund.",block_18
he,ifeste,shepherd,"In the Hindu tradition salt also appears in some of its founding legends: a Sanskrit myth tells that Śiva first revealed his identity to a Gaddi shepherd he employed to transport salt, after he himself man- ifested as a shepherd near Lake Gaurikund.",block_18
śiva,reveal,shepherd,"...also appears in some of its founding legends: a Sanskrit myth tells that Śiva first revealed his identity to a Gaddi shepherd he employed to transport salt, after he himself man- ifested as a shepherd near Lake Gaurikund.",block_19
he,ifeste,shepherd,"...also appears in some of its founding legends: a Sanskrit myth tells that Śiva first revealed his identity to a Gaddi shepherd he employed to transport salt, after he himself man- ifested as a shepherd near Lake Gaurikund.",block_19
he,ifeste,shepherd,"...a Gaddi shepherd he employed to transport salt, after he himself man- ifested as a shepherd near Lake Gaurikund.",block_20
collision,originate,times,"In ancient times, before the collision of tectonic plates originated the Himalayas, the Tibetan plateau was covered by a great sea.",block_21
sources,supply,tibetan,Three main sources have historically supplied salt to the Tibetan...,block_21
collision,originate,times,"In ancient times, before the collision of tectonic plates originated the Himalayas, the Tibetan plateau was covered by a great sea.",block_22
sources,supply,world,Three main sources have historically supplied salt to the Tibetan world.,block_22
salt,sort,lakes,From the lakes of the inhospitable Changthang (the high and icy northern region of the... Co-occurring Entities (sorted by frequency): ↳ salt [/food/ingredient] — 4 times ↳ scarcity [/media_common/quotation_subject] — 1 times ↳ northern [/location/location] — 1 times ↳ eastern [/location/location] — 1 times ↳ iodine,block_22
sources,supply,world,Three main sources have historically supplied salt to the Tibetan world.,block_23
that,reach,tibet,"From the lakes of the inhospitable Changthang (the high and icy northern region of the plateau), salt was extracted that reached western and central Tibet, as well as Ladakh, Nepal and Bhutan.",block_23
sources,supply,world,Three main sources have historically supplied salt to the Tibetan world.,block_24
that,reach,tibet,"From the lakes of the inhospitable Changthang (the high and icy northern region of the plateau), salt was extracted that reached western and central Tibet, as well as Ladakh, Nepal and Bhutan.",block_24
sources,supply,world,Three main sources have historically supplied salt to the Tibetan world.,block_25
that,reach,tibet,"From the lakes of the inhospitable Changthang (the high and icy northern region of the plateau), salt was extracted that reached western and central Tibet, as well as Ladakh, Nepal and Bhutan.",block_25
sources,supply,world,Three main sources have historically supplied salt to the Tibetan world.,block_26
that,reach,tibet,"From the lakes of the inhospitable Changthang (the high and icy northern region of the plateau), salt was extracted that reached western and central Tibet, as well as Ladakh, Nepal and Bhutan.",block_26
changthang,contain,lakes,The Changthang and the Himalayas The salt harvesting The Changtang contains countless salt lakes.,block_27
changthang,contain,lakes,The Changthang and the Himalayas The salt harvesting The Changtang contains countless salt lakes.,block_28
changthang,contain,lakes,The Changthang and the Himalayas The salt harvesting The Changtang contains countless salt lakes.,block_29
changthang,contain,lakes,The Changthang and the Himalayas The salt harvesting The Changtang contains countless salt lakes.,block_30
drokpas,set,search,"When spring arrived, around April, the Drokpas set out to the lakes in search of salt.",block_31
revue,d’etude,tibétaines,"Revue d’Etudes Tibétaines 72 tract the salt, handle the tools, place the wool sacks on the animals, etc.",block_33
72,tract,salt,"Revue d’Etudes Tibétaines 72 tract the salt, handle the tools, place the wool sacks on the animals, etc.",block_33
revue,d’etude,tibétaines,"Revue d’Etudes Tibétaines 72 tract the salt, handle the tools, place the wool sacks on the animals, etc.",block_34
72,tract,salt,"Revue d’Etudes Tibétaines 72 tract the salt, handle the tools, place the wool sacks on the animals, etc.",block_34
revue,d’etude,tibétaines,"Revue d’Etudes Tibétaines 72 tract the salt, handle the tools, place the wool sacks on the animals, etc.",block_35
72,tract,salt,"Revue d’Etudes Tibétaines 72 tract the salt, handle the tools, place the wool sacks on the animals, etc.",block_35
revue,d’etude,tibétaines,"Revue d’Etudes Tibétaines 72 tract the salt, handle the tools, place the wool sacks on the animals, etc.",block_36
72,tract,salt,"Revue d’Etudes Tibétaines 72 tract the salt, handle the tools, place the wool sacks on the animals, etc.",block_36
who,carry,trade,"This type of slang among people who carry out a trade is not exclusive to the ""men of salt"" and it oc- curs in other groups in Tibet such as hunters.3 The Drokpas could take up to 20 days to reach the lake.",block_37
it,oc-,curs,"This type of slang among people who carry out a trade is not exclusive to the ""men of salt"" and it oc- curs in other groups in Tibet such as hunters.3 The Drokpas could take up to 20 days to reach the lake.",block_37
drokpas,take,days,"This type of slang among people who carry out a trade is not exclusive to the ""men of salt"" and it oc- curs in other groups in Tibet such as hunters.3 The Drokpas could take up to 20 days to reach the lake.",block_37
i,thank,mail,"I thank Ulrike Koch (20 July 2020), John Vincent Bellezza (21 July 2020), Gerald Roche (23 July 2020), and Hiroyuki Suzuki (8 August 2020) for their comments (personal communications via e-mail).",block_37
who,carry,trade,"...This type of slang among people who carry out a trade is not exclusive to the ""men of salt"" and it oc- curs in other groups in Tibet such as hunters.3 The Drokpas could take up to 20 days to reach the lake.",block_38
it,oc-,curs,"...This type of slang among people who carry out a trade is not exclusive to the ""men of salt"" and it oc- curs in other groups in Tibet such as hunters.3 The Drokpas could take up to 20 days to reach the lake.",block_38
drokpas,take,days,"...This type of slang among people who carry out a trade is not exclusive to the ""men of salt"" and it oc- curs in other groups in Tibet such as hunters.3 The Drokpas could take up to 20 days to reach the lake.",block_38
i,thank,mail,"I thank Ulrike Koch (20 July 2020), John Vincent Bellezza (21 July 2020), Gerald Roche (23 July 2020), and Hiroyuki Suzuki (8 August 2020) for their comments (personal communications via e-mail).",block_38
who,carry,trade,"...type of slang among people who carry out a trade is not exclusive to the ""men of salt"" and it oc- curs in other groups in Tibet such as hunters.3 The Drokpas could take up to 20 days to reach the lake.",block_39
it,oc-,curs,"...type of slang among people who carry out a trade is not exclusive to the ""men of salt"" and it oc- curs in other groups in Tibet such as hunters.3 The Drokpas could take up to 20 days to reach the lake.",block_39
drokpas,take,days,"...type of slang among people who carry out a trade is not exclusive to the ""men of salt"" and it oc- curs in other groups in Tibet such as hunters.3 The Drokpas could take up to 20 days to reach the lake.",block_39
i,thank,mail,"I thank Ulrike Koch (20 July 2020), John Vincent Bellezza (21 July 2020), Gerald Roche (23 July 2020), and Hiroyuki Suzuki (8 August 2020) for their comments (personal communications via e-mail).",block_39
caravan,start,arrival,"Towards the Himalayas After a few months of rest, and with the arrival of summer, another caravan started up again.",block_41
routes,leave,times,"In pre-modern times (before 1950 and the Chinese administration), many routes left the solitary nomadic camps of the Changthang to- wards the high mountain passes of the south.",block_42
