Source,Relation,Target,Weight
nomadism,ACQUIRED,deep knowledge of environment,1
nomads,ENDURE,inhospitable places on planet,1
these societies,DIFFER,"factors such as animals involved, regional environment, seasonality, mobility and political organization",1
pastoralism,CREATE,unique culture trending toward disappearance,1
domestication of animals,CONSTITUTE,fundamental transition in economic history of human ecology,1
great himalayan barrier,SEPARATES,tibet from nepal and indian subcontinent,1
karakorum,LIES,east,1
tsangpo valley,LIES,tibetan name of brahmaputra,1
tsangpo river tributaries,LIE,salt routes and barter caravans,1
tibetan population,CONCENTRATE,nepal and tibet,1
drogpas,OCCUPY,"changtang plateau at altitude of 4,000 m asl",1
drogpas,MOVE,in search of better pastures and to collect salt from changtang salt lakes,1
salt,TRANSPORTED BY,caravans of yaks or goats,1
humla,AREA,none,1
dolpo and tarap,REGION,none,1
mustang,REGION,none,1
khumbu,REGION,none,1
bhutan,COUNTRY,none,1
nepal,COUNTRY,none,1
sonampa,GROUP,none,1
somadrog,GROUP,none,1
yaks and sheep,LIVESTOCK,none,1
salt farmers,PROFESSION,none,1
barley producers,PROFESSION,none,1
caravan keepers,PROFESSION,none,1
tibet,COUNTRY,none,1
china,COUNTRY,none,1
india,COUNTRY,none,1
indian iodized salt,PRODUCT,none,1
dolpo,REGION,none,1
tarap,REGION,none,1
himalayas,MOUNTAIN RANGE,none,1
barley,PRODUCES,community,1
interregional exchange mechanism,PROVIDES,survival,1
inhabitants,LEAVE,dolpo,1
yaks,CARRY,barley,1
tibetan partners,BARTER,salt,1
shepherds,RECEIVE,sodium carbonate,1
dolpo,TRADE,china and tibet,1
chinese authorities,ALLOW,salt trade,1
drogpa,BRING,tea bricks,1
tibetan horses,TRADE,tea bricks,1
kitamura,TRADE,porcelain cups,1
valli and summers,BARTER,"corn, potatoes, buckwheat, turnips",1
sae-hyug,CULTIVATE,caterpillar fungus,1
tibetans,SELL,caterpillar fungus,1
dolpo,BARTER,grain,1
jumla and botechaur,EXCHANGE,salt,1
yak caravans,TRANSPORTED,salt,1
goats,ADAPTED,climate,1
tibetan high plateau and dolpo,EXCHANGES,salt,1
mustang,STARTING POINT,commercial artery,1
kali gandaki valley,LOCATED IN,northwestern nepal,1
annapurna massif,FOOT OF,the route,1
great himalayan range,CROSSED BY,kali gandaki river,1
taksatsae region,POPULATED BY,buddhist or hindu takali,1
tukuche,MARKET CENTER,village,1
barley and potatoes,GROWN IN,uplands,1
rice,GROWN IN,lower regions,1
tibetan or nepali merchants,MET AT,tukuche,1
salt and grain,TRADED FOR,centuries,1
nepalese prime minister,INSTITUTED,control of the salt trade,1
animals,CARRIED BY,salt and grain,1
tukuche,PRIVILEGED PLACE FOR,threshing barley,1
inhabitants of lô mantang,HAD RIGHT TO FETCH,salt from tibet,1
drogpa,TRADED WITH,salt,1
tukuche,STORED SALT UNTIL END OF MONSOON IN,september-october,1
mule caravans and porters,BROUGHT COMMODITIES FROM VALLEYS OF POKHARA TO,tukuche,1
interregional salt and grain trade,RELEASED AGAIN IN,1928,1
china's annexation of tibet,LED TO,border closures,1
a caravan man,WEAR,heavy trousers,1
a caravan man,WEAR,boots of felt or leather,1
a caravan man,WEAR,woolen chausable,1
a caravan man,WEAR,long coat (chompa),1
pockets,CONTAIN,provisions for the road,1
pockets,CONTAIN,tsampa bag,1
pockets,CONTAIN,dried cheese,1
pockets,CONTAIN,wooden bowl,1
pockets,CONTAIN,rosary,1
pockets,CONTAIN,leather to repair boots,1
men,CARRY,long dagger,1
men,WEAR,black glasses,1
men,USE,sling,1
men,WEAR,reliquary around the neck,1
temple,DISPLAY,sacred drawings (mandalas),1
shepherds,OFFER,fumigation of juniper to buddhist divinities and tutelary spirits,1
shepherds,DEPOSIT,stone engraved with sacred formulas 'hom mani padme hum' on the chörten or prayer wall,1
assistant,HERD,animals into the enclosure and attach them to this rope,1
animals,ADVANCE,slowly in a confused scrum while grazing the grass encountered on the way,1
caravan,ACCOMMODATE,"60 to 70 animals, or 150 to 160 goats belonging to different owners",1
shepherds,CAMP,in harvested fields in exchange for a little salt or wool,1
the men,DRIVE,animals,1
the men,GET,dry wood,1
the men,GET,water,1
the men,PREPARE,tea,1
the men,PREPARE,evening dinner,1
those who stay at the camp,PICK UP AND STACK,bags of salt,1
those who stay at the camp,STACK,rope and equipment,1
the shepherds,REACH,place where grain and salt are exchanged,1
their hosts,OFFER,safe place to spend the night,1
their hosts,OFFER,pen to leave animals,1
the shepherds,OFFER,prized gifts from tibetan highlands,1
goats,GRAZE,"nearby, guarded by one of the team members",1
tibetan salt and pastoral products,EXCHANGE FOR,barley and various other products,1
the men,RETURN TO THEIR VILLAGE IN DOLPO OR MUSTANG,celebrated with a big party,1
drogpa,ACQUIRED,barley,1
salt routes,EMBODIED,expression of ancestral knowledge,1
caravans of the himalayas,EXHIBITED,seasonal transhumance,1
participants in a caravan,STRENGTHENED,family and community bonds,1
barter partners,FOSTERED,bonds with ancestors,1
caravan members,PERFORMED,ceremonial actions,1
roads,CONSIDERED,concrete expressions of process,1
objects associated with daily life,DIFFICULT TO FIND,because they are often buried in the ground,1
piles of stones at passes,HAVE A DISTINCTLY RITUAL CONNOTATION,none,1
major axes of pilgrimage between tibet and india,LISTED AND RESTORED,part of a vast program of development,1
young inhabitants of dolpo and mustang,GRADUALLY TURNING AWAY FROM,old practices of nomadism,1
caterpillar fungus,PAYING MORE THAN GRAIN BARTER,sale,1
tibet,HAS,drogpa,1
chinese central government,PROMOTES,settlement in new villages,1
china,CLAIMS,industrialization and economic development,1
nomadic pastoralists,TEND TO,disrupt the environmental ecosystem,1
hordes of chinese tourists,AROUSE INTEREST,exoticism,1
rajendra kumar chitrakar,HELPED,the author in translating interviews with tibetan shepherds,1
hervé lecoq,REVIEWED,the english text and provided valuable suggestions on its content,1
"capriles, josé m.",CREATED,lost treasures of tibet (mustang),1
"levy, lautaro núñez",CREATED,video about salt routes and barter caravans in nepal,1
tibetan shepherds,PARTICIPATED IN,this study,1
