Source,Target,MappedRelation,Circuit,Weight,Confidence,Score,RawRelations,SourceType,TargetType,Books,Evidence
abdall,hunters,governs,Political economy,1.0,0.9,3.9431,governs,PERSON,CONCEPT,CentralAsia_Tibet_Vol1,"As this had never been visited by anybody except the hunters of Abdall, I decided to map it."
abdu rehim,the men in the caravan,controls,Political economy,1.0,0.9,4.1431,controls,PERSON,GROUP,CentralAsia_Tibet_Vol1,"Besides, camel-hunting was Abdu Rehim's calling."
abdu rehim,rib muscles of an old he-camel,extracts_from,Commodity circuits,1.0,0.85,3.8931,extracts_from,PERSON,COMMODITY,CentralAsia_Tibet_Vol1,Abdu Rehim once found embedded in the rib muscles of an old he-camel a Mongol rifle bullet...
abdu rehim,the men in the caravan,negotiates_with,Political economy,1.0,0.8,3.8431,negotiates_with,PERSON,GROUP,CentralAsia_Tibet_Vol1,"Bidding us wait where we were, Abdu Rehim made a long detour with the object of getting past a gap in the reeds without being seen."
abdu rehim,water,supplies,Commodity circuits,1.0,0.9,5.0931,supplies,PERSON,CONCEPT,CentralAsia_Tibet_Vol1,"When he came back, after an absence of fourteen hours, he said he had found a big he-camel at Tomonki-Yardang-bulak, and had wounded him severely, though the animal crossed the Kurruk-daria, and finally escaped amongst the sand-dunes."
above dbng,river,connects_to,Route/place circuits,1.0,0.8,4.8431,connects_to,CONCEPT,LOCATION,Himalayan_Gazatteer,"Above Dbng, the river is crossed by a bridge of roekg with stones piled into the ancl about half a mile above this natural bridge, the streatn is overlain for some distance a llllge bed of snow 12 feet wide and about 300 feet thick."
agricultural communities,special rights on them,disputes,Political economy,1.0,0.0,1.0931,disputes,GROUP,CONCEPT,Becoming_India,
aldat,camel,depends_on,Commodity circuits,1.0,0.9,4.3431,depends_on,CONCEPT,COMMODITY,CentralAsia_Tibet_Vol1,"We packed him in between two bags of fuel, putting soft felts underneath him, and wrapped his feet in carpets, and rolled up a fur and put it under his head for a pillow, then lashed the whole fast with ropes on the back of a camel."
aldat,the bodily warmth of camels,depends_on,Commodity circuits,1.0,0.8,3.8931,depends_on,CONCEPT,COMMODITY,CentralAsia_Tibet_Vol1,"He also shot a wolf, which was evidently meditating designs upon our last surviving sheep. When we stopped, Aldat begged to be left all night between two camels in the open air; for the Mussulrnans believe that the bodily warmth of these animals will restore health and strength to a sick man whose own vitality is slackening."
aldat,four orongo antelopes,extracts_from,Commodity circuits,1.0,0.95,4.3431,extracts_from,CONCEPT,CONCEPT,CentralAsia_Tibet_Vol1,"Aldat had shot four orongo antelopes, so that we were well provisioned for two or three weeks to come."
aldat,cartridges,supplies,Commodity circuits,1.0,0.8,3.8931,supplies,CONCEPT,COMMODITY,CentralAsia_Tibet_Vol1,"Unfortunately Cherdon had only brought a small supply of cartridges with him, and had used them up too lavishly at first ; so that for the future we were compelled to rely upon Aldat's gun."
aldat,meat,supplies,Commodity circuits,1.0,0.9,4.3931,supplies,CONCEPT,COMMODITY,CentralAsia_Tibet_Vol1,"Here Aldat managed to bag a big orongo, which put us all in better humour, for this supplied us with meat for several days."
aldat,the expedition (mainly meat),supplies,Commodity circuits,1.0,0.8,3.8931,supplies,CONCEPT,COMMODITY,CentralAsia_Tibet_Vol1,we relied upon Aldat to keep us supplied with meat.
aldat,yak,supplies,Commodity circuits,1.0,0.8,4.5931,supplies,CONCEPT,COMMODITY,CentralAsia_Tibet_Vol1,"...he used to spend the whole winter hunting, carrying neither tent nor provisions, but living on the flesh of the yaks he shot..."
aldat,cherchen,trades_with,Commodity circuits,1.0,0.8,3.9431,trades_with,CONCEPT,CONCEPT,CentralAsia_Tibet_Vol1,"He had spent the winter in the mountains shooting yaks, the skins of which he sold in Keriya."
aldat and cherdon,wild asses (kulans),controls,Political economy,1.0,0.85,3.6931,controls,CONCEPT,CONCEPT,CentralAsia_Tibet_Vol1,"Aldat and Cherdon rode towards a troop of wild asses (kulans), 34 in number, which, however, fled at their approach..."
alim,bank,connects_to,Route/place circuits,1.0,0.8,3.5431,connects_to,CONCEPT,CONCEPT,CentralAsia_Tibet_Vol1,"I put to shore in the skiff; then Alim flung me a line, at which I hauled away until I got the big boat so close in to the bank that he was able to jump out and take the line from me."
alim,the river,connects_to,Route/place circuits,1.0,0.8,4.4431,connects_to,CONCEPT,LOCATION,CentralAsia_Tibet_Vol1,he as near as nothing fell back headlong into the river.
all india states' peoples' conference,himalayan hill states' regional council,governs,Political economy,1.0,0.0,1.1431,governs,GROUP,GROUP,Becoming_India,
almora,ilsnikhet,connects_to,Route/place circuits,1.0,0.8,3.6931,connects_to,LOCATION,CONCEPT,Himalayan_Gazatteer,Almora is connected with Ilsnikhet by a new cwrt-road constructed in 1872-73 and a bridle-road by HawBlbtig up the valley of the NIn4 Kosi...
almora,kbshipur,connects_to,Route/place circuits,1.0,0.9,3.9931,connects_to,LOCATION,CONCEPT,Himalayan_Gazatteer,Further inquiry showed that the wares purchased by the Almora merchants at KBshipur were bartered to the Bhotiya carriers who disposed of them at Gartnh and other places in Chinese Tibet.
almora,pauri,connects_to,Route/place circuits,1.0,0.9,4.0431,connects_to,LOCATION,CONCEPT,British_Garhwal,Pauri is connccled with Almora by two roads.
almora,water,supplies,Commodity circuits,1.0,0.9,5.0431,supplies,LOCATION,CONCEPT,Himalayan_Gazatteer,The supply of water is of an unusually good quality ; springs abound on either side of the ridge within 300 feet of the crest and most of them within 160 feet of the top.
almora merchants,tibetan merchants,connects_to,Route/place circuits,1.0,0.8,3.5431,connects_to,GROUP,GROUP,Himalayan_Gazatteer,From the establishment of a direct inter-course between the Almora merchants and those of Tibet...
amdo tibetans,chinese world of gansu and northern sichuan,trades_with,Commodity circuits,1.0,0.9,3.7931,trades_with,GROUP,LOCATION,Santiago_Lazcano,The Chinese and Muslims of Amdo acted as intermediaries between the Amdowa Tibetans and the Chinese world of Gansu and northern Sichuan.
