Source,Relation,Target,Weight,Evidence,Confidence
sir henry ramsay,supplies,materials for the notice of bhjbar,1,"especially for the materials for the notice of the Bhjbar, the administration of which has been especially his own work.",0.8
diiba,connects_to,dinpur malla,1,...,0.8
alaknanda,connects_to,iron bridges,1,"There are four iron bridges over the Alaknora, a tie-bridge at Chnmoli, and iron suspensian-bridges at Clrhatwa-pipal Budrprayhg and Jiikhni...",0.8
almors,connects_to,tlirri road,1,...one and a half miles below Srinagar on the Almors and T l ~ r i road.,0.8
the chand ha'dwoje committee,administers,the naini tril chapluin,1,who visits Al~norn once a year... Close by and around are the residences of the European community...,0.8
the 3rd gorkha regiment,supplies,a strong detachment to pithoragarh under the command of a native officer and guards to naini tbl and rauikhet,1,"The Kumaon battalion is now represented by the 3rd Gorkha regiment, who garrison the fort...",0.9
e.,regulates,the erection of the building,1,"E., who also supervised the erection of the building...",0.9
almora,supplies,water,1,The supply of water is of an unusually good quality ; springs abound on either side of the ridge within 300 feet of the crest and most of them within 160 feet of the top.,0.9
almora,connects_to,ilsnikhet,1,Almora is connected with Ilsnikhet by a new cwrt-road constructed in 1872-73 and a bridle-road by HawBlbtig up the valley of the NIn4 Kosi...,0.8
askot,connects_to,ihli river,1,"on the east lies the Ihli river, which separates it from Ncpbl.",0.9
thokddrs,governs,naydna or thokddr,1,"they are willing to pay the customary dues called by them sometimes malikdm, sometimes nazardno, sometimes hak ramfinddri and sometimes, indeed generally, hak thnkddri to the naydna or thokddr.",0.9
vishnngnnga,connects_to,alaknanda,1,"The village is situate on the right bank of the Vishnngnnga, a feeder of the Alaknanda...",0.9
tapta kund,supplies,thermal spring,1,"...the Tapta kund, a tank about thirty foot square and covered with a roof of planks supported on wooden posts.",0.8
badrinath temple,controls,idol,1,The only person who have access to the inner apartments are the servants and no one but the priest himself is allowed to touch the idol.,0.9
badrinath temple,regulates,temple property,1,"The Rijas frequently made use of the temple property, giving villages in mortgage in exchange which were never redeemed.",0.8
badrinath temple,administers,endowment,1,The temple possesses an endowment of 226 villages in Kumaon and Garhwal which yielded a revenue of over Rs. over 1824.,0.8
the temple,regulates,the institution,1,The Riwal has a regular establishment to manage the temporal concerns of the institution...,0.9
kaodni road,connects_to,someawar,1,"Roads connect it also with Someawar on the Kaodni road, ...",0.9
kaodni road,connects_to,baijnbth,1,"...on the road to Karnyraybg, Kb6ti on the road to the Pindor glacier and Milam and Tbal on the road to Askot.",0.9
kaodni road,connects_to,pindor glacier,1,"...on the road to Karnyraybg, Kb6ti on the road to the Pindor glacier and Milam and Tbal on the road to Askot.",0.9
tikula road,connects_to,harju valley,1,...where it enters the Harju valley.,0.9
topi-dringa,connects_to,lanka,1,on tlie left bank of the Lxnka...,0.9
chidhmu,connects_to,kiogndh,1,From Chidhmu the track passes along a succession of low hillocks to the Kiogndh...,0.9
kingri-bingri pass,connects_to,chir-chun encamping ground in tibet,1,"...meeting tho track froin Unta-dhrira by the Kingri-bingri pass (18,300 feet) at the Chir- chun (Chitichun) encamping ground in Tibet (16,130 foot)",0.9
baudaryunchh,connects_to,peaks,1,"According to native accounts there are said to be our peaks which form the top of Baudaryunchh, only two of which are seen from the south-west and in the cavity or hollow contained between them tradition places a lake or tank of very peculiar sanctity.",0.9
monkey,migrates_through,hadwhr,1,"The landholders aver that every year, in the month of Phlgun, a single monkey comes from the plains, by way of Hadwhr, and ascends the highest peak of this mountain, where he remains twelve months, and returns to give room to another;",0.8
alrnora,governs,champirwrst,1,"removed the Chand capital from Champirwrst, giving the tract around the name Kbbspurja because it was distributed amongst the immediate followers of tlre court.",0.8
kumaon,connects_to,r*lnganga river,1,"a patti of pnrganah SLIP in Kumaon, lies between the R*lnganga river to the west and the Kilbfini or Bchol river to the south and east ;",0.85
tibetans,controls,this country,1,"The nativea assert that tho Tibetans forrnerly held this oountry, and ot;tribute to them the construction of this relic.",0.8
furuagiri,connects_to,wilderness,1,"The first symptom of sanctity in the wilderness is a small marhi, dedicated to Bhairo as door-keeper ; here the pilgrims leave their shoes ; and no man of low caste or of a notoriously bad or even unfortunate character or filthy in person or discourse is knowingly allowed to advance further.",0.8
bhribar tahsil,depends_on,hill portions,1,"The Bhllbnr tahsil may therefore be considered as divided into tho upper or Pah6r portion included in the general notice of tho Kutnaon district and tbe lower, lying below the hills with which we have to deal here.",0.8
government,administers,tarhi,1,"As a preliminary measure to the arrangement of the boundary it mould appear indispensably necessary that the whole tract of the Tarhi should be declared the free and disposable property of Government, with the reservation to individuals of such portions as may be in their actual occupation.",0.8
the thirls and bhoksas,administers,a vast extent of territory,1,These persons holding an undisturbed monopoly of a vast extent of territory...,0.9
the bhhbar,taxes,strangers,1,The full tax wad levied only on tho strangers who came to graze.,0.8
the bhoksas,disputes,water,1,"The Bhoksas having moved down to Gadarpur, and compensation is still paid to the heirs of Moti Chakrbynt amounting to Rs.",0.85
the population of the bhabar,migrates_through,different parts of the hills,1,"The population of the Bhabar is, with few exceptions, migratory, consisting for the most part of Kumaonis who arrive in November and return to the bills in April-May.",0.8
british rule,governs,ohorgaliya,1,"Under the British rule, for under the Gorkbilis there were no cultivated spots at all and few hill-men and flower plains-men ventured into the tract.",0.8
rdlis and other low-caste men,controls,some fields,1,who have for some years made the BhJbar their lone and have become acclimatised.,0.8
hill-men,controls,gaula river,1,"Unless any facts above detailed in allusion to the Gaula river be utterly erroneous, the conclusion arrived at must be that it is henceforth idle to comply in general and loose terms of the monopoly of water by the hill-men.",0.8
captain ramsay,administers,bhhbar,1,"Thomason, then Liouteoant-Governor, placed the Bhhbar in charge of Captain Ramsay with power to expend as much aa he could realise in excess of the Government demand on its improvement.",0.9
government,governs,revenue,1,"The original land revenue continued to be paid into the Government treasury, and in a short time the return from this Revenue alone greatly exceeded the revenue originally fixed...",0.8
rhja shiurhj sirlgh,exchanges_for,chilkiya ildkah and a confiscated estate in af'zalgarh,1,Government was induced to allow Rhja Shiurhj Sirlgh to exchange the Chilkiya ildkah for a confiscated estate in Af'zalgarh.,0.9
bhoksa villages,connects_to,gadarpur,1,the cultivators carried down to Gadarpur by Major Jones,0.8
talladee bhhbar,supplies,people of kali kumaon,1,"The KBli Kumaon people (above Barrndeo) aro the only bad cultivators in the hills, and in cases of scarcity they used to go down to Pilibhit to purchase grain in May and June.",0.8
barmdeo,connects_to,canal,1,"I was asked by a great of the inhabitants of eastern Kumaon to make a canal at Barmdeo, so that the people of the hills above might cultivate as others did at Raldwani or elsewhere : offers for one hundred villages were given, and I took a canal from the Irrigation Department.",0.8
bh6bar,depends_on,manure and irrigation,1,The prosperity of the Bh6bar cultivation depends on manure and irrigation.,0.9
bhabar,governs,pasture land,1,The Bhabar has sufficient pasture land and does not require any management on the part of the Forest Department-,0.8
great 'r~igoaornetrical survey,administers,station,1,There is here a station of the Great 'r~igoaornetrical Survey...,0.8
bhainskhet,connects_to,cfarh-w,1,"Bhainskhet, a village, with a bungalow on the route to Cfarh-",0.8
r~i~naon district,governs,bhainskhet,1,is situated in patti Malla TIkhlill and pargallah BArah~nandal of the R~i~naon district.,0.8
allnora,connects_to,bhainskhet,1,"It is distant 14 miles from Allnora and 13 miles from D~vBruLit, the next stage...",0.8
simtola hill,depends_on,"kalmattiya (6,414 feet)",1,"The route from Al~nora lies down the north-western slope of the Simtola hill around the outlying spur of Kalmattiya (6,414 feet) to HBwalbiig...",0.8
saur-qajeli,connects_to,tilbara bridgo,1,"The road hence to Saur-Qajeli passes on to the Tilbara bridgo, level nnci thenoe slightly undulating...",0.9
bhagirathi river,connects_to,granite trough,1,"the stream is in a state of dirty foam, twisting violently, and with mighty noise, through the unusually hollowed trough of solid granite",0.9
bh6bar,regulates,irrigation purposes,1,to utilise ilic reservoir so formed for irrigation purposes in tho Bh6bar during the cold weather.,0.85
bhotiyas,trades_with,india and england,1,the Bhotiyas travel to oxchallge the yn)ducts of India and England,0.8
himalaya,connects_to,ancient ocean,1,"He knows that the plain over which he looks is the bed of an ancient ocean, filled with the vestiges of the extinct creations of an ancient world...",0.9
bhot,governs,tract known as bhot,1,The other great rivers having their source at the southern border of the snowy range all lie without the tract known as Bhot with which we are more intimately connected here...,0.85
dhauli,connects_to,girthi river,1,"On the right bank, the Dhnuli receivea several glacier streams, including the Gancshganga...",0.9
bhotiyas,controls,villages,1,"The residences of the Bhotiyas are nilh, DSrpbu, Ganpghnr, Kbil.a&, Lsqm, Lwil, Mipa, Milnlu, Yurtuli, lib- l a m b Rllko~, Tola, and Sirudu.",0.9
ramdri,connects_to,knpliut,1,"by Ramdri on tho eastern RAmgaoga across t11e KBlamundi range to Surl~ing and Lflam, while n~lothor branches off from Khilti in the P i n d ~ r  valley...",0.9
chaudlos,connects_to,dlrmb,1,ChaudLos-ia bouuded on the north and west by Dlrmb;,0.8
nep61,governs,bhotiya villages,1,In the glen of the Tinkbr river on tho eastern side of the Khli are a few Bhotiya villages subject in NepB1...,0.8
byins,depends_on,nep61,1,"Up to the Gorkbtili conquest of Kumaon, Byins held to Julijn of Nephl and was annexed through the Rijbir of Asliot to Kumaon in the last decade of the last century.",0.9
byfins,supplies,road,1,The approaches to Byins are the same as those given for DBrma. From Rhela of Dhr~na the road continues along the right bank of the K61i to Budhi...,0.7
chetu-binsyak,connects_to,upper byhns,1,"The summit of Chetu-binSyak is then reached after an ascent of about 1,750 feet by an easy path and thence the entrance into upper Byhns.",0.9
girbiya,connects_to,upper byine,1,"The first village in upper By4ns is Glirbiya or Qarbiyang (10,320 feet), close to the KBli river.",0.8
tinkhar,connects_to,river,1,"A little above the bridge and on the top of a steep bank, is the village of Chanqu (9,900 feet). The Khli now turns abruptly to the north-west through a steep rocky mountain defile...",0.8
byins,governs,askot,1,"It was by this route that Rudrplil, Rbja-bh of Askot, entered and subdued Byins and annexed it to Kumnon under the Gorkhhlie.",0.85
chhad~ala peak,connects_to,mangdang,1,"Two miles more along the river bank leads to Mangdang, a level under the Chhad~ala peak opposite to which is Relakang...",0.8
himelayan passes,connects_to,plains of india,1,"the natural and political barrier-wall dividing two great kingdoms, from which the eye hopes to range one way over terraces of mountains descending to the plains of India...",0.85
lipu-lekh,connects_to,kbli river,1,"The road, fairly or naturally good, follows the right bank of the KBli, which uses in water courses under the pass.",0.9
avalanches,controls,houses,1,"In 1822 more than 20 houses were swept away by an avalanche in the village of MAna, although it is, at present, two miles distant from the peak whence the destructive mass must have proceeded.",0.8
bhotiyas,supplies,jan,1,"The liquor in use is of two descriptions, d61.u or Fbhiskey, produced by distillation and jan, obtained by simple fermentation...",0.9
rhotiyas,transports_via,instruments,1,"The Rhotiyas of both sexes and of all classes in every pass carry suspended from the waistband by small chains or thongs of leather, a variety of instruments of daily use...",0.9
bhoti,governs,their own observation and experience,1,Their intelligo~lae is entirely the result of their own observation and experierrca ;,0.8
bhotiya reaidents of the juhdr valley,supplies,rough account of their trading operations,1,"but of what they may become we have an example in Paodit Naiu Singh, the great explorer of the Trigonometrical Survey, and his fellow-travellers, several of whom were Bhotiya reaidents of the Juhdr valley.",0.7
juhri bhotiyas,regulates,the power and influence they did,1,but the J u h & r i ~  are decidedly the most intelligent and most wealthy of all the Bhotiyns.,0.9
bhotiyas,controls,their more valuable metal utensils,1,On moving down~wardu on their migrations they bury within their houses their more valaable metal utensils.,0.8
panchachuli hills,disputes,death,1,In Juhiir they say that he who collrnits larCally amongst the Pdnchachuli hills shall surely die because of it.,0.9
bhotiyns themselves,negotiates_with,schlagentweite,1,He assisted the Schlagentweite in their journeys.,0.7
bhotiya brahtnans,regulates,eating,1,"Thus they often enter their chauka or cooking circle without washing their feet or taking off their coats, and eat their dinner in the same clothes that they wore at breakfast...",0.9
khy firhais,supplies,slave-girls,1,"The girls were not bought ostensibly as either wives or conoubines, but merely as servants to aid in tho house and field, and living in the houses of their masters and eating with the family, were well treated, and comfortable.",0.8
bhotiyas,depends_on,grain,1,For grain they have to depend in a great measure ou their winter habitations in the more southern pattis.,0.8
bhotiya,governs,juhhr,1,The Bhotiyas of Juhhr have a Peculiar way of cutting their wheat and barley.,0.85
bhotiyas,depends_on,tibet,1,The Bhotiya mahale belonged to Tibet up to the time that Grrhwil became consolidated under the chiefs of binagar and Kumaon under the Chnnds.,0.9
bhotiyas,regulates,trade,1,"The Tibetan authorities have from time immemorial subjected the trade to regulations and relstriction of all kinds, nor is their interference limited to the imposition of customs-duties.",0.85
tibetan authorities,taxes,bhotiyas,1,The taxes paid by them to the foreign Government were formally recognised by their flindu rulers in both districts.,0.9
tibetan government,governs,bhotiyas,1,"It does not appear that this Government ever originates any inquiry into crimes or offences committed by the Bhotiyas elsewhere than in Hundes ; nor does it delegate any power, judicial or fiscal, to the Bhotiya village functionaries.",0.9
