Source,Relation,Target,Weight,Evidence,Confidence
yarkand-daria,connects_to,river,2,"On the left the Yarkand-daria was bordered by steppe, on the right by scrubby forest ; while farther to the east it appeared to be swallowed up by a dense forest of tall poplars. | Shortly after we started, our particular arm of the river was rejoined by another, which had separated from it two days before, and which brought with it a most welcome addition to the volume of the current.",0.875
lord curzon,administers,india,1,It was owing to Lord Curzon's influential favour that my visit in India turned out so exceedingly pleasurable...,0.9
professor himly,administers,the ancient lake of lop-nor,1,"I allude to Professor Himly, of Wiesbaden, and Mr. Macartney, Agent of the Government of India at Kashgar.",0.8
mr. macartney,governs,the government of india at kashgar,1,"Mr. Macartney, Agent of the Government of India at Kashgar.",0.8
kizil-su,connects_to,kashgar,1,Crossing the Kizil-su on the Way to Kashgar.,0.9
drift-ice,connects_to,tarim,1,Drift-ice on the Lower Tarim . Journey by Night amongst the Drift-ice of the Tarim (coloured),0.8
"fuess, of berlin",supplies,meteorological equipment,1,"The meteorological equipment was almost entirely supplied by Fuess, of Berlin...",0.9
james patent folding boat,trades_with,military equipment stores and tortoise tents company of london,1,I obtained it from the Military Equipment Stores and Tortoise Tents Company of London.,0.9
richard's verascope camera,supplies,photographic equipment,1,"I also had with me a Richard's Verascope camera, the identically same instrument ; a Kodak junior, and a Daylight Kodak, both from Eastman.",0.8
kodak junior,supplies,photographic equipment,1,"I also had with me a Richard's Verascope camera, the identically same instrument ; a Kodak junior, and a Daylight Kodak, both from Eastman.",0.8
daylight kodak,supplies,photographic equipment,1,"I also had with me a Richard's Verascope camera, the identically same instrument ; a Kodak junior, and a Daylight Kodak, both from Eastman.",0.8
edwards's mi-halo,supplies,photographic equipment,1,"The plates, which made the heaviest item in my baggage, were Edwards's Mi-halo.",0.8
chemicals and appliances,supplies,photographic equipment,1,"I provided myself with a complete stock of chemicals and appliances for developing, fixing and printing negatives.",0.8
eskilstuna knife,trades_with,central asia,1,A first-class Eskilstuna knife is valued in Central Asia at a great deal more than its monetary value.,0.8
maps and diaries,supplies,traveler's effects,1,For the conveyance of the more fragile and perishable of my effects I got a Stockholm firm to make me six trunks...,0.75
stockholm firm,supplies,traveler's trunks,1,For the conveyance of the more fragile and perishable of my effects I got a Stockholm firm to make me six trunks...,0.75
liebig's extract of mmt,trades_with,traveler's supplies,1,...there was nothing to beat Liebig's Extract of Mmt.,0.7
krasnovodsk,depends_on,water fetched from inland,1,Every drop of water has to be fetched from further inland in big wooden casks fastened on waggons specially made for the purpose.,0.8
imperial russian railways,regulates,travel,1,"My ticket said in plain and unmistakable language, that 'Dr. Sven Hedin was to be granted free passage for himself and his belongings over all the Imperial Russian railways, both in Europe and Asia.'",0.8
amu-daria,connects_to,bridge,1,Just beyond the station of Amu-daria we slowed down whilst crossing the strong wooden bridge which there spans the Amu- daria.,0.9
serafshan (zarafshan),connects_to,new bridge,1,"The river Serafshan (Zarafshan) is now crossed by a new bridge flung over beside the picturesque ruins of the old one, and beyond it the train runs through deep cuttings in the loess;",0.8
tashkend,connects_to,syr-daria,1,"Finally, after rolling across the Syr-daria on a good iron bridge, the train steamed into the large and bustling station of Tashkend, the capital of West Turkestan.",0.9
chernyayeva,connects_to,tashkent,1,"I continued my journey, returning first to Chernyayeva, where I had to wait the greater part of a day for the train from Samarkand.",0.8
