Source,Relation,Target,Weight,Evidence,Confidence
his majesty's government,regulates,relations with the government of lhasa,1,'rhe Present Objects of the Government of India ...',0.8
government of india,governs,tibet,1,of securing the establishment of a properly regulated trade mart in Tibet; and of placing our trade relations with the Tibetans upon a sound and satisfactory footing.,0.8
the tibetans,controls,access to outsiders,1,"The difficulties of obtaining access to them, even for natives of India, is too well known to need repetition; and the Tibetan delegates from Lhasa who are here at the present time have strict orders to hold no personal intercourse with us, and they thoroughly follow out their orders.",0.8
tibetans,regulates,monks and their superstitions,1,These are the chief characteristics of the Tibetans; but it will perhaps serve to fix them in mind if I give the accounts which those travellers who have lived among them give of the leading men whom they met.,0.8
dalai lama,governs,tibetans,1,"and that they have been able to keep themselves together in a compact nation, acting in unfaltering obedience to the Dalai Lama...",0.8
tibet,regulates,monasteries,1,"The buildings of Tibet, the monasteries and forts, are more remarkable for their soliditv and strength than for their beauty.",0.9
tibetans,controls,supreme affairs of tibet,1,"the supreme affairs of Tibet, and among them the control of our coming negotiations, are then in the hands of the monks...",0.9
tibetans,depends_on,spiritual concerns,1,"the latter, by mutual contract, take charge of all their spiritual concerns ; and the former by their labours enrich and populate the State.",0.85
tibetans,depends_on,chinese and mongols,1,the Tibetans depending upon the Chinese and Mongols for temporal support : the latter depending upon the Tibetans in spiritual matters.,0.8
chinese emperor,negotiates_with,dalai lama,1,he immediately opened negotiations with the Dali Lama at Lhasa and succeeded in inducing him to use all his influence...,0.9
chinese,controls,tibetans,1,The truth seems to be that both the Chinese and the Tibetans only make use of each other when they have need the one of the other.,0.8
chinese,negotiates_with,tibetan delegates,1,The Chinese delegate here now is most anxious to commence negotiations at Khamba Jon& but the Tibetan delegates obstinately assert that they will negotiate nowhere but at Cagong.,0.8
tibet,disputes,british,1,that the Tibetans had refused to receive a mission which the British had agreed to let us send;,0.85
tibet,governs,shafis or tibetan councillors,1,that the Shafis or Tibetan councillors now in Chumbi are wholly incompetent to affix their signatures.,0.8
government,regulates,trade,1,A trade mart was to be opened at Yatung at he extreme end of the Chumbi valley.,0.8
tibetans,disputes,convention,1,From the very first it was evident that the Tibetans had no intention of observing the convention.,0.7
british government,governs,trade,1,All British subjects were to be allowed to go there to trade and the British Government were to be free to send officers to reside at Yatun to watch the condition of British trade there.,0.6
tibetans,taxes,goods,1,"The Tibetans, though abiding by the letter of the convention, charged a duty of l o per cent.",0.5
tibetans,disputes,treaty,1,"they repudiate the Treaty and assert that it was signed by the British Government and the Chinese, and therefore they had nothing to do with it.",0.8
tibetans,disputes,the treaty,1,"they had heard of the Treaty, but that it was invalid, as it had not been signed by any Tibetan.",0.9
russia,negotiates_with,tibetan authorities,1,"Many overtures, they told me, had been made on Lhe part of Russia to extcnd her commerce to the internal parts ol Tibet...",0.8
dalai lama,trades_with,russia,1,"The offices and attributes of a Dalai Lama were more or less of a Buddhist pontiff, who was understood, even revered by the Buddhists, ol whom there was a very large number in the Russian Empire.",0.8
dalai lama,governs,tibetan government,1,The Dalai Lama has conceded to the Russian Government the right to have a Consular Officer in Tibet...,0.8
russia,governs,tibet,1,O n  September 8th he saw the Foreign Board nho strongly denied that there was any agreement.,0.8
russian government,regulates,tibet,1,"They regarded Tibet as forming a part of the Chinese Empire, in the integrity which they look an interest.",0.8
russia,supplies,dalai lama,1,"has gone to what a Tibetan would think an extreme length in writing autograph letters to the Czar and some of the high officials, and sending env0j.s to His Majesty.",0.6
lord lansdowne,negotiates_with,russian ambassador,1,"His Excellency thenoficially assured Lord Lansdowne that ' there was no convention about Tibet, either with Tibet itself, or with China, or with an! one else, nor had the Russian Government any agents in that country or any intention of sending agents or missions there.'",0.7
tibetans,negotiates_with,russians,1,"the Tibetans may be found in the fact that when Captain Lesurier met the Chinese Ambassador at Yatung in 1899, the latter told him that if the Indian government insisted on the convention boundary, as understood by us, the Tibetans would block off support from the Russians",0.85
tibetans,depends_on,russian support,1,"Again, in connection with these present negotiations, the Tibetan delegates told a certain Englishman that, if the worst came to the worst, they could always rely upon the Russians and Mongols for support...",0.8
tibetans,trades_with,russians,1,"...and so obstinate is the attitude they have taken up in these negotiations that lie, the means of knowing whether Russian support can be relied upon, he is convinced they must be assured in their own minds...",0.8
russian emperor,governs,tibetans,1,They have had Chinese Emperors sending armies to repel their enemies; and they think that the Russian Emperor will do something of the same kind...,0.8
russian government,administers,concessions for mining rights,1,A concession has already applied for a concession~i for mining rights and to construct a branch from the Siberian Railray to Tibet.,0.8
government of india,negotiates_with,representatives of the chinese and tibetan,1,to negotiate with representatives of the Chinese and Tibetan ~,0.9
government of india,governs,commission,1,the representation of the Tibetan Government on the Commission,0.85
tibet,depends_on,mining and minerals,1,"Their mines and minerals are capable of opening to them such inexhaustible sources 01 wealth, a s  to be alone sufficient to purchase everything of which they stand in need.",0.8
