Source,Target,MappedRelation,Circuit,Weight,Confidence,Score,SourceType,TargetType,Books,ReviewFlag,Evidence
tibetans,salt,supplies,Commodity circuits,2.0,0.95,10.9986,GROUP,COMMODITY,Traders_in_Highland_Nepal|TransHimalayan_Traders_Fisher,,"The Nawas used to give mainly salt, which they obtained from Tibetans.|Thus salt is the crucial commodity which has triggered a series of transactions described here as circuits."
tibetans,salt,trades_with,Commodity circuits,1.0,0.8,9.8431,GROUP,COMMODITY,Traders_in_Highland_Nepal,,"In Sar, a village inside Tibet some thirty-five miles north-east of Ritak, he sold paper, ink and dyes, and bought salt, wool and woollen cloth."
bhotias,salt,supplies,Commodity circuits,2.0,0.9,8.5986,GROUP,COMMODITY,British_Garhwal|TransHimalayan_Traders_Fisher,,"Salt is received in exchange for grain, and is distributed by the traders throughout all upper Garhwal.|This salt is acquired from Bhotias to the north, who have in turn crossed over into Tibet and obtained it from Tibetans, who have brought it from its source."
bhotias,salt,transports_via,Route/place circuits,1.0,0.8,7.5931,GROUP,COMMODITY,Traders_in_Highland_Nepal,,"The quantity of the salt brought to Tarakot is limited, however, and it is for this reason that Taralis go with their caravans to the highlands of Dolpo. Until about 1958 when the supply of Tibetan salt was plentiful Magars and other villagers from the middle-ranges used to come to Tarakot to buy salt for cash or in exchange for grain..."
dolpo,salt,depends_on,Commodity circuits,1.0,0.9,7.5431,LOCATION,COMMODITY,Traders_in_Highland_Nepal,,"The people of Dolpo, on the other hand, do not grow sufficient grain for their own consumption and depend on bartering salt, wool, blankets and goats for the buckwheat, maize and rice obtainable in the Tichurong region."
thakalis,salt,controls,Political economy,1.0,0.8,7.4931,CONCEPT,COMMODITY,Traders_in_Highland_Nepal,,The Thakalis are a trading community which for long periods exercised unchallenged control over the salt-trade following the Kali Gandaki route.
thakalis,salt,trades_with,Commodity circuits,1.0,0.8,7.4931,CONCEPT,COMMODITY,Traders_in_Highland_Nepal,,"Thus, the salt/grain barter can be operated easily by egalitarian societies with constant and predictable needs and a fairly even standard of living."
tarangpurians,salt,trades_with,Commodity circuits,1.0,0.8,7.3431,CONCEPT,COMMODITY,TransHimalayan_Traders_Fisher,,"exchanged within the traditional, interregional symbiotic area, in which exchanges are made at well-established rates that change only glacially."
garhwal,salt,supplies,Commodity circuits,1.0,0.9,7.1431,LOCATION,COMMODITY,British_Garhwal,,"The market of Garhwal is Kotdwara : it receives whatever is produced in the interior of the district, which it supplies with salt, cloth, iron and the like."
purangbas,salt,supplies,Commodity circuits,1.0,0.9,7.0431,CONCEPT,COMMODITY,Traders_in_Highland_Nepal,,they had come to Yari with some 360 sheep and goats carrying salt as well as provisions and cooking utensils for the journey.
