Source,Relation,Target,Weight
gol,VILLAGE,of,2
path,DESCEND,to the level of the river,2
shayuk,BE,junction of indus with,2
thomas thomson,AUTHOR,western himalaya and tibet,1
project gutenberg ebook,EBOOK,none,1
united states,LOCATION,none,1
internet archive,ARCHIVE,none,1
iskardo,PLACE,none,1
western himalaya,REGION,none,1
tibet,COUNTRY,none,1
northern india,LOCATION,none,1
major cunningham,FELLOW-TRAVELLER,himalaya,1
captain henry strachey,FELLOW-TRAVELLER,himalaya,1
my botanical collections,DERIVE NAMES FROM,the hookerian herbarium at kew,1
the gerards' observations,PROVIDE INPUT FOR,botanical collections,1
fellow-travellers,THANK,for contributions to botanical collections,1
own observations,PROVIDE BASIS FOR,calculations of boiling-point of water,1
thermometer (by dollond),USED BY,author for measuring boiling-point of water,1
european nation,REPRESENT SOUND AND VARIABLE CONSONANTS IN,own language,1
proper names,MUST BE TRANSLATED WHEN RENDERED FROM ONE TO ANOTHER,language,1
english language,POSSESS THE OPEN SOUND OF U,in words like but,1
"arabic, persian, and hindee languages",HAVE THE OPEN SOUND OF U,common in words,1
uniform mode of spelling,HAS ADVANTAGES AND PREFERENCE OVER,other methods,1
author,HAS GIVEN A PREFERENCE TO,uniform mode of spelling,1
"punjab, jumna, sutlej, kussowlee",HAVE POPULAR MODE OF SPELLING AND ARE FAMILIAR,as part of english language,1
iskardo,HAS A REPRESENTATION OF EXTREMELY RUGGED SCENERY,of tibetan mountains,1
tibetan mountains,ARE CONTRASTED WITH LEVEL PLAIN OF,iskardo,1
neighbourhood of iskardo,CONTAINS FAITHFUL REPRESENTATION OF,rugged scenery and lacustrine strata,1
author,IS DESIROUS OF INTRODUCING THIS SKETCH TO SHOW,faithful representation of alluvial platforms,1
karakoram,STEEP ASCENT OUT OF,nubra valley,1
merchants from yarkand,MEET,party of,1
murgai,ASCEND,"valley to 16,800 feet",1
general description,OF,tibet,1
appointment to a mission,ABOUT TO PROCEED TO,tibet,1
leave firozpur,FOR,simla,1
kalka,ASCENT TO,kussowlee,1
sabathu,CROSS,gambar river,1
the valley,TRAVERSED BY,a little stream,1
the gagar or markanda,RUNS,in a south-west direction,1
the indus,JOINS,itself in the sands of the bikanir desert,1
himalaya,APPEAR TO FORM,several distinct parallel ranges on the horizon,1
the himalaya,HAVE,perpetual snow,1
the himalaya,HAVE,usual blue-grey tint of distant mountains,1
the traveller,ADVANCES TOWARDS THE BASE OF,the mountains,1
masses of mountains,RESOLVE THEMSELVES INTO,ranges perpendicular to the line of sight,1
our maps,GIVE,many mountain-chains,1
the suliman range,LIES DOWN AS A MOUNTAIN BELT,in all our maps,1
these rivers,LIE FAR BACK AND SPRING FROM,a succession of streams,1
these tributaries,SEPARATE,from a succession of streams,1
the himalaya,SUBTEND A GREATER ANGLE,so as to conceal the more distant portions of the chain,1
ridges,BECOME VISIBLE IN THE FACE PRESENTED TO THE EYE,"which, as the traveller continues to advance, become developed into projecting spurs",1
low sandy or sandstone hills,HAVE ELEVATION THAN,a few hundred feet,1
valley,WIDEN AS IT APPROACHES,more lofty mountains,1
sandstone cliffs,ARE REPLACED BY,rounded hills,1
kalka,HAS AN ELEVATION OF,2000 feet above the level of the sea,1
low hills around kalka,HAVE A BARREN AND UNINVITING ASPECT,none,1
acacia arabica,ARE FREQUENT IN,level part of the valley,1
butea frondosa,ARE FREQUENT IN,level part of the valley,1
kussowlee,OCCUPIES THE CREST OF THE RIDGE OVERLOOKING,kalka valley,1
kussowlee,HAS AN ELEVATION OF,6500 feet,1
traveller from the plains of india,MEETS WITH A COMPLETE CHANGE OF CLIMATE AT,himalaya,1
road,CROSSES A LOW RIDGE AND ENTERS,a receding bay or steeply sloping valley,1
kussowlee range,HAS FACE,northern,1
kussowlee range,IS COVERED WITH,open forest,1
ridge,CROSSED CLOSE TO,point,1
road,WINDS AROUND,most projecting part,1
road,ENTERS,fir-wood,1
plainward face,IS DEVOID OF,forest,1
kalka,HAS ROAD FROM,ascends,1
houses,HAVE BAMBOO PLANTED,around,1
houses,HAVE MANGO PLANTED,around,1
indian plains,HAS COMMON CULTIVATED TREES,"mango, and other",1
slopes,ARE USUALLY BARE AND,grassy,1
rocks,HAVE FERNS AND MOSSES IN CREVICES,of,1
tree,IS REMARKABLE FOR ITS PECULIAR SHAPE,"five-angled branches, and milky juice",1
himalaya,HAS SUBTROPICAL BELT FROM KAMAON WESTWARD,throughout,1
kussowlee ridge,IS A BRANCH FROM,great himalayan mountain range,1
ridge,SEPARATES WATERS OF,"more western branch of the gambar, and small tributaries of the gagar",1
vegetation,OCCUR,fir-wood,1
traveller,APPEAR,new world,1
forms,CHARACTERIZE,temperate climate,1
range,TEND,lessen temperature,1
ascent,LIE,bare sunny slope,1
traveller,BE ACCOMPANIED BY,many species familiar to him,1
region,ENTER,northern face of the spur,1
eye,DIRECT,mountains beyond,1
view,NOT DISAPPOINT,traveller,1
ridge,RISE,wide valley of the gambar,1
main range,DIP,"level, nearly 1000 feet below",1
himalaya,GAIN,crest of the first slope,1
kussowlee,HAVE BUILT,lawrence asylum,1
atmosphere,BE EXTREMELY HAZY,prospect,1
atmosphere,OBSCURES,distant parts,1
misty vapours,ARE DISSIPATED,distant objects,1
inner himalaya,LIES IN THE GREAT DEPTH OF,valleys,1
ridge,IS VERY REMARKABLE FOR ITS,narrowness and suddenness,1
climate,HAS A VERY SENSIBLE EFFECT ON THE,heat,1
road,DESCENDS FROM KUSSOWLEE ALMOST TO THE LEVEL OF THE,plains,1
ridge,RUNS PARALLEL TO THAT RIVER ON ITS RIGHT BANK,gambar,1
simla,IS REACHED BY FOLLOWING THE RIDGE WHICH RUNS PARALLEL TO THAT RIVER,gambar,1
kussowlee ridge,HAS A JUNCTION WITH THE MAIN RANGE,to reach simla,1
road,KEEPS THE RIDGE FOR A VERY SHORT DISTANCE,the 'col' or lower part immediately north of kussowlee,1
spur,IS DESCENDED ON THE NORTH FACE OF,in a winding manner,1
ravine,IS FOLLOWED FOR A SHORT DISTANCE ALONG,a shady ravine,1
stream,RUNS TOWARDS THE NORTH TO JOIN THE GAMBAR,gambar,1
cultivated lands,OCCUPY A FLATTISH TERRACED SLOPE,such as is of very general occurrence in the mountains,1
the stream,CROSSED_BY,a ford,1
the road,CONTINUES_TO_DESCENT,parallel to it towards the north,1
